Date,Open,High,Low,Close,Volume
1999-11-10,33.3996,36.1281,33.1427,35.0696,80793700
1999-11-11,35.3265,39.5349,35.3265,38.5380,28309000
1999-11-12,39.0519,39.3756,35.5835,36.2258,14768100
1999-11-15,36.2258,36.4210,34.5866,35.4550,8675100
1999-11-16,34.8795,34.9412,33.3996,33.9135,6978600
1999-11-17,33.6874,35.0388,33.4664,34.7819,5806900
1999-11-18,34.9103,35.4242,33.9803,34.0728,4718700
1999-11-19,34.0728,34.0728,33.0143,33.3996,5091100
1999-11-22,32.9166,33.0143,31.3443,32.4388,4785400
1999-11-23,32.5672,34.4273,32.5004,34.0111,2832200
1999-11-24,34.0638,35.1941,34.0328,34.9360,2179400
1999-11-26,35.3231,35.8392,35.1941,35.6792,1322500
1999-11-29,36.1282,36.2573,34.5799,35.1631,1987000
1999-11-30,34.7760,34.9051,34.0947,34.0947,1686100
1999-12-01,34.1928,34.7760,33.8728,34.0018,1405700
1999-12-02,34.0638,34.6109,34.0018,34.6109,1391000
1999-12-03,34.8070,34.9360,34.2238,34.2909,1753500
1999-12-06,34.3218,34.3218,33.7438,34.1928,1398900
1999-12-07,34.0328,35.0960,34.0018,35.0960,1793100
1999-12-08,35.0960,35.2921,34.4509,35.2921,1774000
1999-12-09,35.2921,35.4831,34.3889,34.8380,1713600
1999-12-10,34.2599,34.5799,33.7438,34.1309,1248600
1999-12-13,34.2599,34.5489,33.4857,34.0638,1417800
1999-12-14,34.0638,34.0638,33.4186,33.5477,1886600
1999-12-15,33.5477,33.5786,32.8715,32.9025,1602800
1999-12-16,32.9025,33.0625,32.6445,33.0315,1364600
1999-12-17,33.4186,34.8999,33.3877,34.3838,1980800
1999-12-20,34.9360,35.3541,34.5489,35.3541,1501300
1999-12-21,35.2250,35.6121,34.8380,35.6121,1265200
1999-12-22,35.5812,35.5812,34.0947,34.5799,1264700
1999-12-23,34.3218,35.0341,33.8728,34.9670,1180600
1999-12-27,35.3541,35.9683,34.8380,35.9683,1478800
1999-12-28,35.8702,35.9683,35.1270,35.6121,1051400
1999-12-29,35.6121,35.8083,34.8689,35.0960,904700
1999-12-30,35.7412,35.8702,35.0960,35.0960,926700
1999-12-31,35.5502,35.8702,35.2921,35.6121,649300
2000-01-03,35.9683,35.9992,34.5799,34.6109,1273200
2000-01-04,34.5799,34.5799,33.3567,33.5167,1385800
2000-01-05,33.4857,34.3218,33.4186,34.0328,1401700
2000-01-06,34.0018,35.1631,33.5477,35.0960,1959100
2000-01-07,34.9051,34.9051,33.9347,34.2599,996000
2000-01-10,34.5180,34.8070,34.2909,34.6109,1191700
2000-01-11,34.6470,34.8070,34.2238,34.2599,1020000
2000-01-12,34.1309,34.8380,33.7748,34.7760,1097700
2000-01-13,34.9051,35.3541,34.7760,35.2560,1071200
2000-01-14,35.5502,35.7412,35.2560,35.6431,1160000
2000-01-18,35.6121,35.6121,34.7760,35.4521,980500
2000-01-19,35.3541,35.3850,34.8070,35.2250,1087300
2000-01-20,35.1631,35.6792,35.1631,35.5502,1972000
2000-01-21,35.5502,35.5502,34.4199,34.7089,1270100
2000-01-24,35.0341,35.2250,34.0638,34.0638,831400
2000-01-25,33.8728,34.3889,33.4186,34.0018,1263000
2000-01-26,33.6767,33.8728,33.2896,33.6148,933400
2000-01-27,33.7077,33.7438,33.0315,33.6148,1128400
