Date,Open,High,Low,Close,Volume
1997-12-18,14.1676,15.7602,14.0503,14.6561,1905200
1997-12-19,14.6561,15.2717,14.3532,15.1447,275200
1997-12-22,15.1447,15.5160,14.6561,14.6561,88300
1997-12-23,14.6561,15.4476,14.6561,15.1447,74500
1997-12-24,15.6332,15.8775,15.6332,15.8775,45400
1997-12-26,15.9361,16.6103,15.8775,16.6103,45400
1997-12-29,16.3660,17.4701,16.3660,17.2845,107100
1997-12-30,17.4017,17.6460,17.1574,17.5287,49600
1997-12-31,17.5874,18.8087,17.4017,18.8087,50800
1998-01-02,19.7858,19.7858,18.6231,19.6001,209500
1998-01-05,20.0300,20.2743,17.8316,18.3788,384300
1998-01-06,18.9357,19.4243,18.2029,18.9357,195600
1998-01-07,18.9943,18.9943,17.9586,18.4472,97700
1998-01-08,18.5644,18.7501,18.0173,18.0173,61300
1998-01-09,18.2615,18.2615,17.0988,17.8316,101700
1998-01-12,17.8316,17.8316,16.8545,17.4017,138500
1998-01-13,18.9357,19.5415,18.5644,19.4243,297400
1998-01-14,19.8444,20.2743,19.5415,20.1571,135600
1998-01-15,20.2743,21.9842,20.2743,20.6456,219900
1998-01-16,20.8899,21.0657,20.6456,20.8899,47300
1998-01-20,21.3100,21.9842,21.3100,21.4370,60600
1998-01-21,21.4370,22.8440,21.4370,21.7399,89700
1998-01-22,21.8669,22.2285,21.4957,21.5543,29500
1998-01-23,21.7399,21.7399,20.6456,21.2514,48100
1998-01-26,21.7399,21.9256,21.0071,21.3784,40000
1998-01-27,21.4957,21.8669,21.3100,21.6813,106600
1998-01-28,21.8669,22.7170,21.8669,22.4727,44300
1998-01-29,22.5997,23.3326,22.4727,23.0883,22200
1998-01-30,22.9613,23.4498,22.7170,23.3326,24000
1998-02-02,24.4269,24.4269,23.1469,23.9383,63000
1998-02-03,24.0654,24.0654,23.6354,23.7527,34900
1998-02-04,23.9383,25.0424,23.8211,24.9154,71900
1998-02-05,24.1826,24.6711,23.8211,24.3683,130700
1998-02-06,24.6711,25.1597,24.6711,25.0424,32000
1998-02-09,25.6482,25.9511,25.3453,25.4040,62100
1998-02-10,25.4040,26.0195,25.1597,25.8925,80100
1998-02-11,26.5080,26.7523,25.8925,26.5080,41700
1998-02-12,26.5080,26.5080,25.8925,25.8925,28400
1998-02-13,25.8925,26.2638,25.4040,25.4626,58500
1998-02-17,25.5896,26.2638,25.5896,26.2638,18000
1998-02-18,26.1368,26.2638,25.2183,25.2183,26100
1998-02-19,25.1597,25.1597,23.2055,23.9970,76300
1998-02-20,23.9383,24.8568,23.9383,24.0654,30600
1998-02-23,24.3096,24.9154,24.3096,24.7298,29200
1998-02-24,24.8568,24.9154,24.6125,24.6125,6400
1998-02-25,24.8568,24.8568,24.4855,24.8568,9800
1998-02-26,24.6125,24.6711,24.5539,24.5539,2900
1998-02-27,24.6711,24.8568,24.1240,24.1240,31400
1998-03-02,24.2412,24.6711,23.9383,24.3683,45100
1998-03-03,24.4855,25.0424,24.4855,24.9154,23700
1998-03-04,24.9740,25.7752,24.9740,25.7752,62700
1998-03-05,25.6482,25.7752,24.9740,24.9740,74700
1998-03-06,25.6482,26.0781,24.9740,24.9740,2289400
1998-03-09,24.9740,25.5310,24.7982,24.9740,463200
1998-03-10,25.0424,25.1597,24.5539,24.5539,284100
1998-03-11,24.6125,24.7298,23.4498,24.5539,253100
1998-03-12,24.7298,25.0424,24.6711,24.7982,242400
1998-03-13,24.9154,25.0424,24.4269,24.9154,107500
1998-03-16,24.7982,24.7982,24.4269,24.4855,64800
1998-03-17,24.6125,25.0424,24.4855,25.0424,266100
1998-03-18,24.7982,24.7982,23.6941,23.6941,402500
1998-03-19,23.8211,24.4269,23.8211,23.9383,318000
1998-03-20,23.6941,23.6941,22.9613,22.9613,273500
1998-03-23,22.9613,23.2055,21.0071,21.4370,486500
1998-03-24,22.2285,23.8211,22.1112,23.8211,391600
1998-03-25,23.9383,24.6711,23.5084,24.3096,256600
1998-03-26,23.9383,24.0654,23.6354,23.6941,57200
1998-03-27,23.6941,24.7982,23.6941,24.6711,80500
1998-03-30,24.4269,24.4269,23.6941,23.9970,201700
1998-03-31,23.9383,25.4040,23.9383,25.4040,146300
1998-04-01,25.4040,25.4040,24.4269,24.7298,60500
1998-04-02,24.6711,24.7982,24.4269,24.7298,79900
1998-04-03,24.7298,25.7752,24.7298,25.1597,173400
1998-04-06,25.3453,25.3453,24.6711,24.7298,51600
1998-04-07,24.8568,24.8568,23.5768,23.8211,86400
1998-04-08,23.6941,24.2412,23.6941,24.1826,81900
1998-04-09,24.4269,24.6711,24.3096,24.5539,63300
1998-04-13,24.6711,25.4626,24.4269,25.2867,84300
1998-04-14,28.0909,29.1950,27.2409,29.1950,561700
1998-04-15,29.0680,29.5565,28.0909,29.4393,212200
1998-04-16,29.4393,30.9049,29.4393,30.6606,154300
1998-04-17,30.4163,31.1492,30.3480,30.7779,94200
1998-04-20,30.5922,30.9049,29.3123,29.5565,79700
1998-04-21,29.8008,30.6606,29.5565,30.2893,47200
1998-04-22,30.4163,31.0221,30.2893,30.9049,42000
1998-04-23,31.0221,31.0221,29.4393,29.8008,62100
1998-04-24,29.7422,29.8008,28.7065,29.8008,112600
1998-04-27,29.0680,29.8008,28.5208,29.8008,65700
1998-04-28,32.9763,33.3476,32.4877,33.2792,321000
1998-04-29,33.7091,34.5005,33.4648,33.7091,215300
1998-04-30,33.8361,35.1161,33.6505,33.6505,108700
1998-05-01,33.6505,34.0120,33.6505,33.7091,36400
1998-05-04,33.8361,34.3833,33.7091,33.8361,314200
1998-05-05,33.8361,34.5689,33.7091,34.3247,57000
1998-05-06,34.3247,34.6862,34.1976,34.6862,464800
1998-05-07,34.5689,34.9304,34.0804,34.0804,30900
1998-05-08,34.1976,34.6862,34.1390,34.6862,38200
1998-05-11,34.9304,36.3960,34.9304,35.7219,103000
1998-05-12,35.9075,36.0932,35.6632,35.7219,39000
1998-05-13,35.6632,36.3960,35.6632,36.1518,281400
1998-05-14,36.1518,36.1518,35.1747,35.4190,88100
1998-05-15,35.4190,35.4776,35.3017,35.3017,87200
1998-05-18,35.0575,35.0575,32.9763,32.9763,220400
1998-05-19,33.2206,33.7091,32.2435,32.9763,135400
1998-05-20,33.1033,33.2206,32.7320,33.1619,120600
1998-05-21,33.2206,33.2206,32.9177,33.1619,31400
1998-05-22,33.2206,33.2206,33.1033,33.1619,23100
1998-05-26,33.2206,34.8132,33.2206,34.4419,140300
1998-05-27,34.4419,34.5689,33.6798,33.7091,51700
1998-05-28,33.7091,33.8361,33.3476,33.3476,54900
1998-05-29,33.3476,33.8361,33.3476,33.7091,29200
1998-06-01,33.7091,34.1390,33.6505,34.1390,17400
1998-06-02,34.1976,34.4419,33.8947,34.1976,18400
1998-06-03,34.1976,35.1747,34.1976,35.1747,95300
1998-06-04,35.0575,35.1747,35.0575,35.1747,149600
1998-06-05,35.3603,35.6046,34.5689,34.6275,56000
1998-06-08,34.6862,34.9304,34.3833,34.5689,51200
1998-06-09,34.8132,34.9304,34.6862,34.9304,99800
1998-06-10,34.9304,34.9304,34.5005,34.6275,14600
1998-06-11,34.6275,34.6275,34.0804,34.1976,23000
1998-06-12,34.1976,34.2563,33.2206,33.5234,37700
1998-06-15,33.2206,33.2206,32.1262,32.6148,37300
1998-06-16,35.6632,37.1289,34.9304,34.9304,2313200
1998-06-17,34.9304,35.6632,34.9304,35.5460,808600
1998-06-18,35.5460,35.5460,34.6862,35.0575,470900
1998-06-19,35.1161,35.2333,34.9304,35.1747,155000
1998-06-22,35.1747,35.5460,35.1161,35.5460,109000
1998-06-23,35.5460,36.5231,35.4776,36.2202,375500
1998-06-24,36.2788,36.5817,36.0932,36.3667,162000
1998-06-25,36.7673,37.9887,36.6403,37.9887,92900
1998-06-26,37.9887,38.7801,37.9887,38.7215,105400
1998-06-29,38.8387,40.3044,38.8387,40.1871,210600
1998-06-30,40.0601,41.0372,39.8744,41.0372,267800
1998-07-01,41.0372,41.0372,40.1871,40.7929,56800
1998-07-02,40.7929,40.7929,40.6756,40.7343,9900
1998-07-06,40.9785,41.6527,40.9785,41.2228,88500
1998-07-07,41.4671,43.2942,41.4084,42.8741,155000
1998-07-08,42.9913,44.3397,42.9913,44.3397,134700
1998-07-09,44.5839,44.7012,44.0954,44.2127,145300
1998-07-10,44.2127,44.2127,42.9913,43.4212,131800
1998-07-13,43.6655,45.6783,43.6655,45.0041,159100
1998-07-14,44.8282,44.8868,43.9098,43.9684,144500
1998-07-15,43.9684,44.2127,43.9684,44.1540,86500
1998-07-16,44.0270,45.1311,43.9684,44.8868,123100
1998-07-17,44.8868,45.4926,44.7598,45.3754,154600
1998-07-20,45.3754,46.9582,45.3167,46.8996,188400
1998-07-21,46.8996,46.8996,45.2484,45.2484,139700
1998-07-22,44.6426,44.6426,43.0499,43.3626,120300
1998-07-23,43.4212,43.8511,42.0142,42.0729,90100
1998-07-24,42.3171,42.5614,42.0729,42.2585,87100
1998-07-27,42.3855,42.3855,39.4543,40.7929,578000
1998-07-28,40.6756,40.7343,37.6174,37.9203,892900
1998-07-29,38.1059,38.1059,35.1747,35.9661,614100
1998-07-30,35.9661,35.9661,33.9534,34.3833,1379100
1998-07-31,33.9534,33.9534,32.4877,33.1619,1481900
1998-08-03,33.2206,33.4648,33.1033,33.1619,353100
1998-08-04,33.2206,34.0804,33.2206,33.7677,763100
1998-08-05,35.1747,35.4776,33.7091,35.1747,777800
1998-08-06,35.1747,35.1747,34.6862,34.8718,404000
1998-08-07,34.8132,34.8718,34.1390,34.6862,260300
1998-08-10,34.6862,34.6862,33.9534,34.1390,224600
1998-08-11,33.2206,33.2792,32.9177,32.9763,173800
1998-08-12,33.2206,33.2792,32.9177,32.9177,118800
1998-08-13,32.9177,32.9177,29.8008,30.4163,140600
1998-08-14,30.5336,31.2664,30.2893,30.5336,212800
1998-08-17,30.7192,30.7192,28.0909,28.3352,420600
1998-08-18,28.3938,32.1262,28.3352,32.1262,661600
1998-08-19,32.6148,32.9177,32.3705,32.3705,288000
1998-08-20,32.3705,32.3705,30.7192,30.7779,125800
1998-08-21,30.2893,30.2893,29.2536,30.1037,176900
1998-08-24,30.1721,30.1721,29.1950,29.3123,151000
1998-08-25,29.3123,30.5336,29.1950,29.1950,187500
1998-08-26,29.1950,29.1950,27.1138,27.1725,226600
1998-08-27,25.8925,25.8925,24.4269,24.4269,268600
1998-08-28,24.6711,25.4040,22.9613,25.4040,286300
1998-08-31,25.7752,25.8925,18.3202,19.0530,508600
1998-09-01,19.7858,19.9128,17.7144,17.7144,423700
1998-09-02,17.9586,19.7271,17.9586,19.3559,363100
1998-09-03,19.0530,19.9128,19.0530,19.5415,306800
1998-09-04,20.0300,20.0887,19.6685,19.6685,227900
1998-09-08,20.2743,20.6456,20.0887,20.2743,194700
1998-09-09,20.2743,20.4600,19.1116,19.1116,403100
1998-09-10,19.0530,19.0530,17.3431,18.0759,398200
1998-09-11,18.2029,19.1800,18.2029,18.5644,104300
1998-09-14,19.2972,20.7042,19.2972,20.0887,91400
1998-09-15,20.2743,20.5772,20.2157,20.5772,67700
1998-09-16,20.4013,21.1928,20.4013,21.1928,70800
1998-09-17,20.5186,20.7042,19.0530,19.7858,144500
1998-09-18,20.0300,20.5186,19.2972,19.6001,212200
1998-09-21,19.1116,19.9128,19.1116,19.7858,329900
1998-09-22,19.6588,20.0887,19.6588,20.0887,249100
1998-09-23,20.3329,20.4600,19.5415,19.6685,121000
1998-09-24,19.7858,20.1571,19.5415,20.1571,155900
1998-09-25,19.8444,20.0300,19.6685,19.7271,158600
1998-09-28,19.8444,20.8215,19.8444,20.2743,202300
1998-09-29,20.5186,20.8899,20.2743,20.8899,192300
1998-09-30,20.8899,23.3912,20.8899,23.3912,307200
1998-10-01,22.8440,22.8440,21.1341,21.1341,232900
1998-10-02,21.1341,21.1928,20.2743,20.5186,78200
1998-10-05,20.7628,20.7628,19.6001,19.6001,62800
1998-10-06,19.6685,19.7858,17.5874,18.0173,176400
1998-10-07,18.2029,18.2029,13.7377,14.1090,378000
1998-10-08,14.6561,14.7148,10.3179,12.1548,744200
1998-10-09,14.0503,15.5160,13.8647,14.5389,817500
1998-10-12,15.5160,17.7730,15.5160,17.7730,318400
1998-10-13,18.0173,19.4829,17.8316,17.8316,250300
1998-10-14,17.8316,18.2029,17.5874,17.6460,196100
1998-10-15,18.0173,19.7271,17.8316,19.6685,432900
1998-10-16,20.5772,21.0071,20.4013,20.9485,225300
