Date,Open,High,Low,Close,Volume
2018-02-02,14.5962,14.8424,14.3500,14.7791,4923075
2018-02-05,14.6173,14.8424,13.0065,14.4978,4454079
2018-02-06,14.2375,14.7088,13.7170,14.4204,9323010
2018-02-07,14.2867,14.7229,14.2867,14.6033,15743168
2018-02-08,14.4556,14.5611,13.9983,14.0687,7726191
2018-02-09,14.0687,14.2797,13.3723,14.0054,5664444
2018-02-12,14.0405,14.0687,13.6114,13.7732,2149115
2018-02-13,13.8576,13.8928,13.6466,13.8576,1396357
2018-02-14,13.8365,13.9139,13.5903,13.8225,2311469
2018-02-15,13.9350,14.0335,13.6888,13.9632,2318701
2018-02-16,13.9983,14.0757,13.8225,14.0616,1168647
2018-02-20,13.9632,14.1249,13.9632,14.0687,2273521
2018-02-21,14.0616,14.0687,13.7873,13.8365,2484507
2018-02-22,13.8717,14.0687,13.8436,13.9561,2713626
2018-02-23,13.9632,14.0335,13.8225,13.9421,2631499
2018-02-26,13.9209,13.9209,13.7381,13.8576,2092404
2018-02-27,13.8998,13.9491,13.6396,13.6888,1664958
2018-02-28,13.6677,13.8682,13.5833,13.7521,2408582
2018-03-01,13.7521,13.8647,13.6044,13.7099,2674790
2018-03-02,13.7099,13.7310,13.4771,13.6466,1471400
2018-03-05,13.6185,13.7275,13.5682,13.6958,1797056
2018-03-06,13.7873,13.8647,13.7170,13.7943,2350554
2018-03-07,13.7451,13.8576,13.6396,13.7943,1433542
2018-03-08,13.7803,13.8224,13.5059,13.5692,2447873
2018-03-09,13.4778,13.8225,13.4215,13.7873,2827684
2018-03-12,13.7873,13.8295,13.5059,13.6396,3098774
2018-03-13,13.6466,13.8436,13.6466,13.7873,2115814
2018-03-14,13.8084,13.8928,13.7803,13.8084,2741473
2018-03-15,13.8225,13.8928,13.5059,13.6607,3091238
2018-03-16,13.5411,13.7381,13.5200,13.6607,19539243
2018-03-19,13.6677,13.6712,13.4710,13.5270,2323985
2018-03-20,13.6044,13.6044,13.2527,13.3863,4471120
2018-03-21,13.3582,13.4074,13.2034,13.3441,1937353
2018-03-22,13.2597,13.3652,13.1964,13.2245,1527225
2018-03-23,13.2597,13.3160,12.8517,12.9924,2140385
2018-03-26,13.1331,13.3160,13.0206,13.1261,2107014
2018-03-27,13.1894,13.1894,12.8939,12.9994,1420014
2018-03-28,13.0352,13.0849,12.8862,12.9643,4879867
2018-03-29,12.8507,13.0636,12.6698,12.9998,6687643
2018-04-02,13.0210,13.0494,12.8720,12.9785,5131146
2018-04-03,13.0069,13.0210,12.8720,12.9643,1757617
2018-04-04,12.8862,13.0139,12.7727,12.8649,3282352
2018-04-05,12.8933,12.9785,12.8082,12.9004,3853825
2018-04-06,12.8933,13.0139,12.8295,12.9714,2187140
2018-04-09,12.9785,13.0175,12.8436,12.8720,2919485
2018-04-10,12.9785,13.0069,12.7798,12.8862,1525040
2018-04-11,12.8082,12.9253,12.7585,12.8933,1926708
2018-04-12,12.8933,12.9998,12.7088,12.8933,896800
2018-04-13,12.9146,12.9465,12.7940,12.9146,1426573
2018-04-16,12.9146,13.0352,12.8720,12.9359,2935705
2018-04-17,12.9643,13.0707,12.9430,12.9643,1570044
2018-04-18,12.9785,13.0636,12.9430,13.0423,1460414
2018-04-19,13.0423,13.0494,12.9146,12.9359,1343585
2018-04-20,12.9501,13.0139,12.8188,12.9004,1074831
2018-04-23,12.9430,12.9430,12.4747,12.8366,931139
2018-04-24,12.8295,12.9359,12.7372,12.8011,1068522
2018-04-25,12.7372,12.8791,12.7372,12.8011,1006702
2018-04-26,12.7940,12.8507,12.7585,12.7798,1440281
2018-04-27,12.7585,12.8366,12.6450,12.8082,1188901
2018-04-30,12.8153,12.9146,12.7656,12.9004,1640820
2018-05-01,12.8436,12.9430,12.7017,12.9217,3782098
2018-05-02,12.8578,12.8862,12.6521,12.6804,3561033
2018-05-03,12.6521,12.8082,12.6450,12.6662,2176822
2018-05-04,12.6662,12.9856,12.6237,12.7869,2616373
2018-05-07,12.7727,12.9643,12.7585,12.8862,3572203
2018-05-08,12.8720,13.1984,12.8649,13.0636,3328105
2018-05-09,13.3049,13.7945,13.3049,13.4042,4145530
2018-05-10,13.4823,13.6100,13.4681,13.5674,2574243
2018-05-11,13.5390,13.5532,13.3794,13.4823,1535351
2018-05-14,13.5532,13.7058,13.5390,13.6952,3418485
2018-05-15,13.6810,13.8513,13.6597,13.7306,5147511
2018-05-16,13.7023,14.0358,13.7023,13.9435,3603918
2018-05-17,14.0429,14.2274,13.9754,13.9790,3875424
2018-05-18,14.0216,14.0429,13.8016,13.8797,2095363
2018-05-21,13.9364,14.1564,13.9080,14.0216,3213057
