Date,Open,High,Low,Close,Volume
1982-01-04,1.9829,2.0036,1.9523,1.9937,321100
1982-01-05,1.9523,1.9937,1.9003,1.9623,442400
1982-01-06,1.8697,1.9317,1.7970,1.8491,565800
1982-01-07,1.8177,1.8491,1.7764,1.8078,508900
1982-01-08,1.8177,1.8383,1.7970,1.8177,340400
1982-01-11,1.7557,1.8383,1.6731,1.7045,521100
1982-01-12,1.7144,1.7458,1.6838,1.7458,473400
1982-01-13,1.7045,1.7557,1.6524,1.6731,313300
1982-01-14,1.7045,1.7557,1.6524,1.7251,260800
1982-01-15,1.7557,1.7764,1.7351,1.7764,185900
1982-01-18,1.7557,1.7764,1.7351,1.7664,208700
1982-01-19,1.6731,1.7557,1.5905,1.6219,1352100
1982-01-20,1.6425,1.6731,1.6111,1.6731,477400
1982-01-21,1.6731,1.6838,1.6524,1.6632,393400
1982-01-22,1.6632,1.6838,1.6425,1.6632,238000
1982-01-25,1.6632,1.6838,1.6425,1.6524,223600
1982-01-26,1.6318,1.6731,1.5905,1.6111,329500
1982-01-27,1.6425,1.6731,1.6111,1.6731,160100
1982-01-28,1.7144,1.7351,1.6838,1.7144,301900
1982-01-29,1.7557,1.7764,1.7351,1.7351,326000
1982-02-01,1.6937,1.7144,1.6731,1.6838,123800
1982-02-02,1.6731,1.6838,1.6524,1.6524,227900
1982-02-03,1.6425,1.6731,1.6111,1.6318,197300
1982-02-04,1.6425,1.6524,1.6219,1.6425,176300
1982-02-05,1.6318,1.6524,1.6111,1.6219,123800
1982-02-08,1.5905,1.6219,1.5492,1.5492,328600
1982-02-09,1.5492,1.5698,1.5178,1.5384,207800
1982-02-10,1.5078,1.5599,1.4459,1.4665,397700
1982-02-11,1.4764,1.5078,1.4351,1.4558,400800
1982-02-12,1.5078,1.5285,1.4764,1.4872,541300
1982-02-16,1.4665,1.4872,1.4351,1.4764,231000
1982-02-17,1.4971,1.5078,1.4764,1.4764,408200
1982-02-18,1.5178,1.5384,1.4971,1.5285,163200
1982-02-19,1.5178,1.5285,1.4971,1.5178,138200
1982-02-22,1.5178,1.5698,1.4665,1.4665,187200
1982-02-23,1.4459,1.4764,1.4046,1.4764,267300
1982-02-24,1.4971,1.5285,1.4558,1.4971,301900
1982-02-25,1.5078,1.5384,1.4764,1.5285,497500
1982-02-26,1.5492,1.5599,1.5285,1.5492,250300
1982-03-01,1.5285,1.5599,1.4971,1.5384,213100
1982-03-02,1.5285,1.5599,1.4872,1.4872,136000
1982-03-03,1.4558,1.4872,1.4145,1.4558,514100
1982-03-04,1.3732,1.4145,1.3219,1.3525,267300
1982-03-05,1.3426,1.3938,1.2806,1.3219,344800
1982-03-08,1.3112,1.3732,1.2393,1.2393,262500
1982-03-09,1.2600,1.3013,1.2187,1.2699,392000
1982-03-10,1.3219,1.3839,1.2600,1.3219,238900
1982-03-11,1.3525,1.3732,1.3319,1.3319,140900
1982-03-12,1.3319,1.3525,1.3112,1.3319,143500
1982-03-15,1.3732,1.3938,1.3525,1.3732,99700
1982-03-16,1.3938,1.4252,1.3525,1.3839,128200
1982-03-17,1.4046,1.4145,1.3938,1.4046,59000
1982-03-18,1.4558,1.4872,1.4145,1.4872,208200
1982-03-19,1.5078,1.5285,1.4764,1.4872,141700
1982-03-22,1.4872,1.5078,1.4665,1.4872,111100
1982-03-23,1.4971,1.5285,1.4558,1.4971,195100
1982-03-24,1.4459,1.4971,1.3839,1.4145,215200
1982-03-25,1.4145,1.4459,1.3839,1.4351,217900
1982-03-26,1.4145,1.4351,1.3938,1.4145,152700
1982-03-29,1.3839,1.4046,1.3633,1.3732,192900
1982-03-30,1.3938,1.4145,1.3633,1.4046,141700
1982-03-31,1.4351,1.4665,1.4046,1.4558,168900
1982-04-01,1.4558,1.4665,1.4351,1.4558,132100
1982-04-02,1.4971,1.5285,1.4665,1.5078,391600
1982-04-05,1.5285,1.5492,1.4971,1.5078,227500
1982-04-06,1.5178,1.5285,1.4971,1.5078,261200
1982-04-07,1.5285,1.5492,1.4971,1.5078,227500
1982-04-08,1.5078,1.5285,1.4872,1.4971,862900
1982-04-12,1.4558,1.5078,1.3938,1.4351,202100
1982-04-13,1.4046,1.4351,1.3633,1.4046,326400
1982-04-14,1.3938,1.4252,1.3633,1.3839,198200
1982-04-15,1.3633,1.3839,1.3426,1.3732,581500
1982-04-16,1.3732,1.3938,1.3525,1.3839,312800
1982-04-19,1.3633,1.3839,1.3319,1.3426,354000
1982-04-20,1.3426,1.3525,1.3219,1.3426,259400
1982-04-21,1.3319,1.3426,1.3219,1.3319,259900
1982-04-22,1.3633,1.4046,1.3112,1.4046,407400
1982-04-23,1.4351,1.4558,1.4145,1.4558,405600
1982-04-26,1.5078,1.5384,1.4665,1.5285,288300
1982-04-27,1.5384,1.5698,1.5078,1.5599,635800
1982-04-28,1.6219,1.6838,1.5599,1.6838,543000
1982-04-29,1.6318,1.6632,1.5905,1.5905,804700
1982-04-30,1.6111,1.6425,1.5805,1.6219,321600
1982-05-03,1.6219,1.6425,1.6012,1.6318,143500
1982-05-04,1.6111,1.6318,1.5805,1.5805,200400
1982-05-05,1.5805,1.6012,1.5492,1.5599,135200
1982-05-06,1.5805,1.5905,1.5599,1.5805,74800
1982-05-07,1.6219,1.6425,1.6012,1.6425,242400
1982-05-10,1.6731,1.6937,1.6524,1.6838,355700
1982-05-11,1.7251,1.7764,1.6731,1.7664,515900
1982-05-12,1.7664,1.7970,1.7351,1.7871,569300
1982-05-13,1.7871,1.7970,1.7664,1.7764,299300
1982-05-14,1.7764,1.7871,1.7664,1.7764,206900
