Date,Open,High,Low,Close,Volume
2023-10-02,83.1100,89.0000,81.5300,85.1200,23045021
2023-10-03,82.6500,83.2500,76.0115,77.0500,12669348
2023-10-04,76.6700,80.6200,76.3500,77.8000,8358073
2023-10-05,76.3000,76.9900,72.6500,74.4500,15351896
2023-10-06,73.0400,78.4700,73.0400,77.9800,7781104
2023-10-09,76.7500,78.0000,73.7340,74.6100,7000952
2023-10-10,73.9600,75.5100,72.5000,75.0000,5385610
2023-10-11,74.4400,76.5600,73.6100,74.4700,4602544
2023-10-12,73.7500,75.3000,72.7500,74.2300,4668740
2023-10-13,73.6300,73.9900,70.4700,71.8500,5286548
2023-10-16,71.6200,74.8400,71.6200,74.2100,4555009
2023-10-17,73.1300,75.1250,73.0100,74.4800,2584903
2023-10-18,73.5000,73.9305,72.2709,72.4500,2959764
2023-10-19,71.8200,72.7400,69.9500,70.2900,2867355
2023-10-20,70.4000,70.7800,68.9000,69.9300,3151455
2023-10-23,69.3000,72.4700,67.6500,71.9000,4089800
2023-10-24,72.2900,73.7100,71.7900,72.0100,3432182
2023-10-25,71.3000,72.3350,69.7800,70.7900,3298220
2023-10-26,66.3300,72.2300,65.5100,70.0000,3537099
2023-10-27,68.6400,69.4400,67.7500,67.9900,3411966
2023-10-30,68.4800,69.3300,67.4200,68.3600,3393689
2023-10-31,68.9200,69.7300,67.6500,69.0000,3370675
2023-11-01,68.1600,69.1900,67.4700,67.5100,2503499
2023-11-02,68.0000,70.5400,66.6900,70.2800,2848533
2023-11-03,70.4700,71.0900,69.0600,70.8000,2225943
2023-11-06,70.0500,70.0700,68.0800,68.2600,2854956
2023-11-07,67.7500,70.2500,67.3600,70.0700,2133628
2023-11-08,69.8000,70.3200,69.5500,69.8000,2053764
2023-11-09,69.0900,70.3200,69.0900,69.6300,2020509
2023-11-10,69.3100,70.7800,69.1400,70.5500,1645252
2023-11-13,70.2800,73.2000,70.1800,72.9800,2964323
2023-11-14,73.8500,74.1000,73.0100,73.6300,2814544
2023-11-15,73.4700,74.6400,73.0100,73.9100,3437120
2023-11-16,72.7400,73.0600,70.5800,70.8800,2446588
2023-11-17,70.9000,71.3700,70.0600,70.9900,1500398
2023-11-20,71.0000,71.3500,70.5800,70.7600,1814332
2023-11-21,70.8000,72.8000,70.4700,72.3100,1767632
2023-11-22,72.8000,73.8300,72.3400,72.9400,1906279
2023-11-24,72.6600,74.1300,72.2300,74.0100,823414
2023-11-27,73.8200,73.9900,73.0000,73.5000,1649881
2023-11-28,72.9250,74.5390,72.8500,73.3200,2062140
2023-11-29,73.4000,75.2500,73.2400,74.2200,2519218
2023-11-30,74.7000,77.6200,74.7000,77.2500,8454137
2023-12-01,77.1700,77.1700,75.9700,76.5100,2039378
2023-12-04,75.9700,76.9200,75.4900,75.7800,1625807
2023-12-05,75.4000,76.1400,75.2191,75.5500,1411382
2023-12-06,75.5500,76.4900,75.0200,75.8300,2000895
2023-12-07,75.8000,76.2900,74.6200,74.6300,1295953
2023-12-08,74.6000,75.6450,74.2700,75.4300,1295954
2023-12-11,75.0000,77.3600,74.6500,76.8200,1648975
2023-12-12,76.3700,77.8800,75.7800,77.4500,2329244
2023-12-13,77.1700,78.7041,76.3000,77.7400,3836149
2023-12-14,78.5100,79.7200,77.6300,79.3300,3229377
2023-12-15,78.8700,79.9300,78.0300,78.8500,6691210
2023-12-18,79.1900,80.9200,78.4300,80.8400,1954762
2023-12-19,81.6000,83.6200,80.9900,83.4400,2886761
2023-12-20,83.5500,83.8850,80.6200,80.6400,1699871
2023-12-21,81.3200,81.9800,79.8103,81.1200,917002
2023-12-22,80.6400,81.7900,80.0300,81.6400,711687
2023-12-26,81.7000,82.3350,81.3900,82.1300,699029
2023-12-27,82.1400,83.5000,81.9800,83.2200,1016858
2023-12-28,83.0000,83.4400,82.2700,83.0400,799320
2023-12-29,82.8400,83.3600,81.8600,82.2600,675031
2024-01-02,81.1000,82.0000,79.9500,81.0200,1129563
2024-01-03,80.6000,80.9000,77.7500,78.0500,1164650
2024-01-04,77.4500,78.2800,76.5700,76.6100,1388528
2024-01-05,76.6100,77.6399,76.2500,76.9000,1891777
2024-01-08,76.4700,77.8400,76.4700,77.5100,1553517
2024-01-09,77.5000,77.5750,76.7200,76.7400,2094022
2024-01-10,76.4000,76.7300,74.9950,76.4300,1619289
2024-01-11,76.4000,76.5900,74.9600,76.0800,1015786
2024-01-12,76.2100,76.4200,75.0000,75.7600,1064441
2024-01-16,74.3600,75.2800,73.9103,74.5500,1342673
2024-01-17,74.4700,75.9800,74.2700,75.8800,1464417
2024-01-18,75.8400,76.5800,75.0300,76.0100,1253360
2024-01-19,75.8700,77.6800,75.8700,77.5500,1279558
2024-01-22,77.6600,79.7600,77.5000,79.6900,1496023
2024-01-23,80.5000,80.5000,78.8600,78.8900,1201071
