Date,Open,High,Low,Close,Volume
1988-01-05,5.8528,5.8528,5.7027,5.7027,16800
1988-01-06,5.7134,5.7134,5.5741,5.6384,152400
1988-01-07,5.6598,5.7242,5.6384,5.6598,42000
1988-01-08,5.7027,5.7242,5.6384,5.6384,62400
1988-01-11,5.6170,5.6170,5.5741,5.5797,15600
1988-01-12,5.5368,5.5368,5.4026,5.4454,48000
1988-01-13,5.4669,5.4669,5.3597,5.3597,32400
1988-01-14,5.3597,5.3597,5.3168,5.3383,13200
1988-01-15,5.3811,5.4026,5.3811,5.4026,127200
1988-01-18,5.4454,5.4454,5.4240,5.4240,12000
1988-01-19,5.4454,5.4669,5.4454,5.4562,4800
1988-01-20,5.4133,5.4133,5.3168,5.3168,823200
1988-01-21,5.3168,5.3220,5.3168,5.3168,12000
1988-01-22,5.3168,5.3597,5.3168,5.3597,15600
1988-01-25,5.3597,5.6170,5.3597,5.5741,88800
1988-01-26,5.5312,5.5741,5.4883,5.5312,160800
1988-01-27,5.5312,5.6384,5.5312,5.6384,25200
1988-01-28,5.6920,5.6920,5.6384,5.6384,160800
1988-01-29,5.7027,5.7456,5.6384,5.6384,49200
1988-02-01,5.6384,5.8099,5.6384,5.8099,81600
1988-02-02,5.8528,5.8528,5.8313,5.8313,16800
1988-02-03,5.8957,5.9600,5.8957,5.9171,188400
1988-02-04,5.9171,5.9171,5.9171,5.9171,34800
1988-02-05,5.9600,5.9600,5.9171,5.9171,58800
1988-02-08,5.9171,5.9385,5.9171,5.9171,115200
1988-02-09,5.9171,5.9171,5.9171,5.9171,4800
1988-02-10,5.9171,5.9227,5.9171,5.9171,42000
1988-02-11,5.9385,5.9385,5.9171,5.9171,13200
1988-02-12,5.9385,5.9600,5.9385,5.9600,10800
1988-02-16,5.9600,6.0029,5.9600,6.0029,52800
1988-02-17,6.0029,6.0350,5.9814,5.9814,139200
1988-02-18,5.9707,5.9707,5.9707,5.9707,16800
1988-02-19,5.9752,6.0236,5.9752,6.0020,175200
1988-02-22,6.0020,6.0128,5.9912,6.0020,139200
1988-02-23,6.0236,6.0452,6.0236,6.0452,73200
1988-02-24,6.0452,6.0452,6.0452,6.0452,10800
1988-02-25,6.0452,6.0452,6.0236,6.0236,37200
1988-02-26,6.0020,6.0020,5.9696,6.0020,20400
1988-02-29,6.0236,6.0560,6.0236,6.0452,44400
1988-03-01,6.0668,6.1099,6.0668,6.1099,109200
1988-03-02,6.1099,6.1531,6.1099,6.1531,36000
1988-03-03,6.2179,6.3906,6.2179,6.3906,145200
1988-03-04,6.3906,6.4770,6.3906,6.4770,90000
1988-03-07,6.5202,6.5202,6.4770,6.4770,51600
1988-03-08,6.4770,6.5202,6.4338,6.5202,73200
1988-03-09,6.5202,6.5258,6.5202,6.5258,3600
1988-03-10,6.5202,6.5633,6.3043,6.3043,62400
1988-03-11,6.3043,6.3099,6.3043,6.3099,27600
1988-03-14,6.3690,6.3690,6.2883,6.3258,15600
1988-03-15,6.3258,6.3315,6.3258,6.3315,3600
1988-03-16,6.3474,6.4770,6.3474,6.4338,63600
1988-03-17,6.4338,6.4338,6.3906,6.4338,64800
1988-03-18,6.4338,6.5202,6.4338,6.5202,61200
1988-03-21,6.5202,6.5202,6.5202,6.5202,106800
1988-03-22,6.5202,6.5258,6.5202,6.5258,15600
1988-03-23,6.5202,6.5633,6.5202,6.5202,40800
1988-03-24,6.5633,6.5633,6.5633,6.5633,76800
1988-03-25,6.5690,6.6065,6.5633,6.5633,50400
1988-03-28,6.5633,6.5633,6.3906,6.4770,45600
1988-03-29,6.4770,6.5202,6.4554,6.5202,32400
1988-03-30,6.5202,6.5202,6.4554,6.4554,37200
1988-03-31,6.4122,6.4770,6.4122,6.4770,21600
1988-04-04,6.4986,6.5094,6.4122,6.4122,87600
1988-04-05,6.4014,6.4014,6.3474,6.3582,27600
1988-04-06,6.3151,6.3258,6.3043,6.3258,38400
1988-04-07,6.3366,6.3906,6.3366,6.3798,36000
1988-04-08,6.3906,6.4554,6.3906,6.4446,15600
1988-04-11,6.4770,6.5417,6.4446,6.4446,64800
1988-04-12,6.4554,6.4770,6.4554,6.4770,12000
1988-04-13,6.4446,6.4770,6.4230,6.4554,44400
1988-04-14,6.4338,6.4338,6.3798,6.4338,86400
1988-04-15,6.4122,6.4986,6.4122,6.4770,33600
1988-04-18,6.4826,6.5202,6.4826,6.5202,62400
1988-04-19,6.5417,6.7576,6.5417,6.7361,115200
1988-04-20,6.7361,6.7361,6.6605,6.6929,92400
1988-04-21,6.6929,6.6929,6.5633,6.6497,54000
1988-04-22,6.6281,6.7361,6.6065,6.7361,250800
1988-04-25,6.6929,6.6929,6.5633,6.5849,67200
1988-04-26,6.6065,6.6713,6.6065,6.6497,13200
1988-04-27,6.6065,6.6065,6.6065,6.6065,27600
1988-04-28,6.5633,6.5633,6.4770,6.4770,60000
1988-04-29,6.4338,6.5202,6.3906,6.5202,45600
1988-05-02,6.5202,6.5202,6.4770,6.4770,21600
1988-05-03,6.5094,6.5417,6.4770,6.5417,72000
1988-05-04,6.5417,6.5633,6.5202,6.5202,81600
1988-05-05,6.5417,6.5525,6.5202,6.5525,21600
1988-05-06,6.5202,6.5417,6.4986,6.4986,120000
1988-05-09,6.4770,6.5202,6.4338,6.5202,66000
1988-05-10,6.4770,6.5417,6.4554,6.4554,31200
1988-05-11,6.4122,6.4122,6.3258,6.3258,135600
1988-05-12,6.3690,6.3690,6.3474,6.3474,4800
1988-05-13,6.3690,6.3690,6.3151,6.3151,31200
1988-05-16,6.3043,6.3474,6.3043,6.3099,28800
1988-05-17,6.3474,6.4338,6.3474,6.3906,44400
1988-05-18,6.3906,6.4554,6.3906,6.4554,36000
1988-05-19,6.4554,6.4554,6.3690,6.4122,22800
1988-05-20,6.4541,6.5193,6.4541,6.5193,58800
1988-05-23,6.5193,6.5193,6.4324,6.4324,34800
1988-05-24,6.4106,6.4432,6.3780,6.3889,58800
1988-05-25,6.3672,6.3889,6.3672,6.3672,8400
1988-05-26,6.3889,6.3889,6.3672,6.3672,30000
1988-05-27,6.3672,6.4106,6.3672,6.4106,15600
1988-05-31,6.4324,6.4324,6.3672,6.4324,78000
1988-06-01,6.4758,6.5193,6.4758,6.5193,34800
1988-06-02,6.5193,6.6062,6.4976,6.6062,144000
1988-06-03,6.5628,6.5736,6.4758,6.5736,21600
1988-06-06,6.5736,6.5736,6.5519,6.5628,4800
1988-06-07,6.6062,6.6062,6.5302,6.5302,34800
1988-06-08,6.5628,6.5736,6.5193,6.5302,133200
1988-06-09,6.5628,6.6497,6.5302,6.6497,36000
1988-06-10,6.6171,6.6497,6.5845,6.6388,48000
1988-06-13,6.7257,6.7583,6.6823,6.6823,128400
1988-06-14,6.7040,6.7366,6.7040,6.7257,43200
1988-06-15,6.7475,6.7475,6.7257,6.7366,26400
1988-06-16,6.7366,6.7366,6.6714,6.6714,38400
