Date,Open,High,Low,Close,Volume
1997-05-05,4.5040,4.5826,4.4891,4.5571,1035800
1997-05-06,4.5699,4.5954,4.5443,4.5699,612800
1997-05-07,4.2510,4.3318,4.1851,4.2383,853400
1997-05-08,4.1979,4.2765,3.9322,4.0130,3153400
1997-05-09,3.9853,4.0916,3.9853,4.0130,1006000
1997-05-12,4.0130,4.0916,3.9853,4.0130,572800
1997-05-13,3.9853,4.0385,3.9853,3.9853,480400
1997-05-14,4.0385,4.0916,4.0385,4.0640,447600
1997-05-15,4.0640,4.1703,4.0640,4.1703,662400
1997-05-16,4.1448,4.1979,4.1192,4.1192,216800
1997-05-19,4.1192,4.1703,4.1192,4.1703,831800
1997-05-20,4.1448,4.2255,4.1448,4.2255,229600
1997-05-21,4.2255,4.2510,4.1979,4.2510,367800
1997-05-22,4.2765,4.2765,4.2106,4.2510,714200
1997-05-23,4.2638,4.3318,4.2510,4.2765,247200
1997-05-27,4.3042,4.3318,4.2765,4.3042,242200
1997-05-28,4.3042,4.3318,4.3042,4.3169,209600
1997-05-29,4.3042,4.3318,4.2765,4.3042,219400
1997-05-30,4.2255,4.3318,4.1979,4.3318,215800
1997-06-02,4.3573,4.4636,4.3318,4.4636,297800
1997-06-03,4.4636,4.5443,4.4381,4.5167,673800
1997-06-04,4.5167,4.5167,4.4636,4.4636,400800
1997-06-05,4.4636,4.5443,4.4636,4.5443,386400
1997-06-06,4.5295,4.6102,4.5295,4.5826,551200
1997-06-09,4.5699,4.6506,4.5699,4.6506,170600
1997-06-10,4.6506,4.7016,4.6230,4.6506,542800
1997-06-11,4.6506,4.6506,4.5167,4.5167,328800
1997-06-12,4.4891,4.5167,4.4381,4.4636,434600
1997-06-13,4.5167,4.5443,4.4636,4.4891,581000
1997-06-16,4.5167,4.5167,4.4381,4.4381,325600
1997-06-17,4.3977,4.4381,4.3828,4.4381,808600
1997-06-18,4.4508,4.5040,4.4232,4.4508,478200
1997-06-19,4.4636,4.6761,4.4636,4.6506,254800
1997-06-20,4.7293,4.7293,4.6230,4.6506,722200
1997-06-23,4.6761,4.7824,4.6506,4.7016,360200
1997-06-24,4.7016,4.7569,4.6102,4.6102,556600
1997-06-25,4.6102,4.6230,4.5103,4.5699,266000
1997-06-26,4.5954,4.6102,4.5167,4.5571,161600
1997-06-27,4.5443,4.5571,4.4891,4.4891,111600
1997-06-30,4.4763,4.6230,4.4763,4.4891,314800
1997-07-01,4.5167,4.6889,4.5167,4.6506,199800
1997-07-02,4.4891,4.5699,4.4891,4.5699,314400
1997-07-03,4.5699,4.5699,4.5167,4.5295,243200
1997-07-07,4.5443,4.5699,4.5167,4.5443,478600
1997-07-08,4.5443,4.5443,4.4636,4.4636,253600
1997-07-09,4.5699,4.5699,4.4104,4.4104,389000
1997-07-10,4.4508,4.5295,4.3977,4.5295,586200
1997-07-11,4.5295,4.5443,4.4891,4.5167,349800
1997-07-14,4.5167,4.5295,4.4827,4.4976,235600
1997-07-15,4.4827,4.5443,4.4827,4.5167,215200
1997-07-16,4.4636,4.5699,4.4636,4.4827,216800
1997-07-17,4.4827,4.4891,4.3701,4.4444,368600
1997-07-18,4.4636,4.4763,4.2765,4.3637,260600
1997-07-21,4.3573,4.3573,4.1979,4.2255,712000
1997-07-22,4.2255,4.2765,4.2106,4.2765,888400
1997-07-23,4.3042,4.5954,4.3042,4.5699,1094600
1997-07-24,4.5699,4.5699,4.3701,4.4763,426600
1997-07-25,4.4636,4.5040,4.4232,4.4763,204200
1997-07-28,4.4508,4.4636,4.3977,4.3977,118400
1997-07-29,4.3977,4.3977,4.2638,4.2765,281400
1997-07-30,4.2765,4.3828,4.2765,4.3828,751600
1997-07-31,4.3828,4.3977,4.2510,4.2765,221600
1997-08-01,4.2914,4.2914,4.1703,4.1979,239200
1997-08-04,4.1979,4.2106,4.0916,4.1575,485000
1997-08-05,4.1575,4.1851,4.0385,4.1575,842400
1997-08-06,4.1575,4.2510,4.1575,4.2106,464000
1997-08-07,4.2255,4.2255,4.0789,4.1192,804200
1997-08-08,4.1192,4.2106,4.1044,4.1851,365400
1997-08-11,4.1703,4.2106,4.1575,4.1979,973800
1997-08-12,4.1979,4.2106,4.1320,4.1320,914800
1997-08-13,4.1448,4.1575,4.0916,4.1044,433000
1997-08-14,4.0916,4.1192,4.0916,4.1192,217600
1997-08-15,4.1192,4.1575,4.0916,4.0916,140800
1997-08-18,4.1044,4.1044,3.9726,4.0512,442400
1997-08-19,4.0789,4.1979,4.0512,4.0916,719200
1997-08-20,4.1703,4.2510,4.1320,4.2510,264400
1997-08-21,4.2510,4.2638,4.1703,4.1979,242200
1997-08-22,4.2106,4.2106,4.1851,4.2106,199400
1997-08-25,4.2383,4.2765,4.2255,4.2638,415200
1997-08-26,4.2510,4.2765,4.2383,4.2510,137200
1997-08-27,4.2510,4.2702,4.2447,4.2638,281200
1997-08-28,4.2510,4.2765,4.2383,4.2638,307600
1997-08-29,4.2638,4.2765,4.2638,4.2638,356200
1997-09-02,4.2914,4.3977,4.2914,4.3977,477600
1997-09-03,4.4104,4.4763,4.4104,4.4381,581200
1997-09-04,4.4232,4.4508,4.3828,4.3977,203000
1997-09-05,4.4232,4.4763,4.4232,4.4636,249200
1997-09-08,4.4508,4.4636,4.4381,4.4636,202800
1997-09-09,4.4636,4.5167,4.4636,4.4891,135600
1997-09-10,4.4508,4.5635,4.4508,4.5103,501600
1997-09-11,4.5040,4.5167,4.4572,4.4763,233600
1997-09-12,4.4891,4.5699,4.4763,4.5699,331000
1997-09-15,4.5571,4.6230,4.5507,4.5826,315800
1997-09-16,4.5954,4.6102,4.5826,4.6039,337400
1997-09-17,4.6039,4.7165,4.6039,4.7101,531200
1997-09-18,4.7101,4.7165,4.5167,4.5507,488000
1997-09-19,4.5635,4.6761,4.5507,4.6698,301800
1997-09-22,4.6698,4.7016,4.6230,4.6889,342800
1997-09-23,4.6889,4.6889,4.5167,4.5295,203400
1997-09-24,4.4381,4.4508,4.2638,4.3233,1069800
1997-09-25,4.3318,4.3318,4.1384,4.1448,2284400
1997-09-26,4.1703,4.2106,4.1703,4.1703,746200
1997-09-29,4.1851,4.3169,4.1320,4.3169,811200
1997-09-30,4.2914,4.3828,4.2510,4.3828,318200
1997-10-01,4.4381,4.4381,4.3701,4.3913,177400
1997-10-02,4.3977,4.4041,4.3318,4.3764,323000
1997-10-03,4.3913,4.4891,4.3764,4.3913,480200
1997-10-06,4.4041,4.4508,4.3701,4.3977,131600
1997-10-07,4.3828,4.4891,4.3637,4.4763,580200
1997-10-08,4.4891,4.5167,4.3977,4.4168,298600
1997-10-09,4.4168,4.4636,4.3764,4.3977,889800
1997-10-10,4.4508,4.5040,4.4232,4.4891,881600
1997-10-13,4.4763,4.5507,4.4763,4.5507,384000
1997-10-14,4.5826,4.6039,4.5699,4.5762,386200
1997-10-15,4.5571,4.5699,4.5231,4.5699,104800
1997-10-16,4.5699,4.5699,4.4763,4.4976,153800
1997-10-17,4.4976,4.4976,4.3828,4.4381,387200
1997-10-20,4.4636,4.5103,4.4508,4.4763,198800
1997-10-21,4.4763,4.5358,4.4763,4.5295,189400
1997-10-22,3.4540,3.4731,3.1883,3.2414,13998400
1997-10-23,3.1819,3.2818,3.0820,3.0820,5101200
1997-10-24,3.1351,3.2287,3.1075,3.2010,3765800
1997-10-27,3.1883,3.2818,2.9757,2.9757,2912200
1997-10-28,2.8694,3.1351,2.8291,3.1351,2716800
1997-10-29,3.1479,3.1755,2.9885,3.0012,5089800
1997-10-30,2.9226,2.9757,2.8694,2.8694,2153400
1997-10-31,2.9098,2.9226,2.8694,2.8694,1230200
1997-11-03,2.9226,2.9566,2.8886,2.9353,1122000
1997-11-04,2.9502,2.9502,2.8822,2.9290,529600
1997-11-05,2.8949,2.9226,2.8694,2.8822,852400
1997-11-06,2.8694,2.8886,2.8439,2.8439,1218600
1997-11-07,2.8163,2.8439,2.7759,2.8439,1797200
1997-11-10,2.8439,2.8694,2.8099,2.8099,491800
1997-11-11,2.8291,2.8291,2.7887,2.8036,304600
1997-11-12,2.7759,2.7887,2.6824,2.6824,495400
1997-11-13,2.6909,2.7228,2.6696,2.6760,1100000
1997-11-14,2.7037,2.7292,2.6633,2.6909,568400
1997-11-17,2.7759,2.7887,2.7377,2.7440,682400
1997-11-18,2.7440,2.7504,2.6633,2.6760,506600
1997-11-19,2.6909,2.6909,2.6505,2.6824,764600
1997-11-20,2.6760,2.7100,2.6696,2.7037,705400
1997-11-21,2.6824,2.6909,2.6314,2.6441,994200
1997-11-24,2.6165,2.6441,2.5761,2.5761,318600
1997-11-25,2.5761,2.6378,2.5761,2.6038,783400
1997-11-26,2.6314,2.6569,2.5102,2.5442,521200
1997-11-28,2.5379,2.5910,2.5379,2.5761,194400
1997-12-01,2.5761,2.6165,2.5251,2.5634,1121800
1997-12-02,2.5506,2.5506,2.4698,2.4698,927800
1997-12-03,2.4847,2.4847,2.4443,2.4443,1318000
1997-12-04,2.4911,2.5761,2.4698,2.5166,968400
1997-12-05,2.5102,2.5506,2.4847,2.5442,967600
1997-12-08,2.5697,2.5697,2.5166,2.5315,743400
1997-12-09,2.5251,2.5761,2.4975,2.5506,824000
1997-12-10,2.5634,2.5634,2.5315,2.5506,766200
1997-12-11,2.5506,2.6314,2.4975,2.6314,2154000
1997-12-12,2.6229,2.6314,2.5910,2.6165,669000
1997-12-15,2.6505,2.6696,2.6165,2.6696,870400
1997-12-16,2.6569,2.6696,2.6038,2.6314,858200
1997-12-17,2.6314,2.6696,2.6165,2.6696,489000
1997-12-18,2.6696,2.7632,2.6569,2.7100,923600
1997-12-19,2.6569,2.6633,2.6038,2.6378,410200
1997-12-22,2.6229,2.7504,2.5846,2.5910,1177400
1997-12-23,2.5846,2.6101,2.5506,2.5697,1352600
1997-12-24,2.5761,2.6101,2.5506,2.5570,126600
1997-12-26,2.5570,2.5910,2.5379,2.5570,107800
1997-12-29,2.5697,2.6038,2.4975,2.5506,809400
1997-12-30,2.6038,2.6441,2.5442,2.5634,584800
1997-12-31,2.5910,2.6038,2.5251,2.5974,978600
1998-01-02,2.6165,2.6505,2.5506,2.5761,912600
1998-01-05,2.5846,2.6038,2.5634,2.5910,302600
1998-01-06,2.5634,2.5846,2.5570,2.5570,488400
1998-01-07,2.5506,2.5634,2.5166,2.5506,616400
1998-01-08,2.5506,2.5634,2.5166,2.5251,469000
1998-01-09,2.5442,2.5442,2.3848,2.4252,495200
1998-01-12,2.3912,2.4316,2.3508,2.3721,452200
1998-01-13,2.3912,2.4103,2.3848,2.3912,437200
1998-01-14,2.3912,2.4380,2.3912,2.4316,356200
1998-01-15,2.4188,2.5379,2.4040,2.5039,716600
1998-01-16,2.5102,2.7037,2.5102,2.6973,1968200
1998-01-20,2.6824,2.6824,2.6101,2.6696,1253600
1998-01-21,2.6441,2.6909,2.6441,2.6696,613000
1998-01-22,2.6441,2.6569,2.5761,2.6101,241200
1998-01-23,2.6101,2.6101,2.5506,2.5974,463800
1998-01-26,2.6038,2.6038,2.5102,2.5634,469800
1998-01-27,2.5506,2.6569,2.5379,2.5379,848200
1998-01-28,2.5379,2.5570,2.5315,2.5506,201400
1998-01-29,2.5761,2.6441,2.5506,2.5974,708000
1998-01-30,2.5910,2.6314,2.5166,2.6038,1171600
1998-02-02,3.0289,3.0289,2.7377,2.8439,6213200
1998-02-03,2.8439,2.8631,2.6441,2.7759,1918000
1998-02-04,2.7632,2.7759,2.7440,2.7695,2815400
1998-02-05,2.7759,2.8439,2.7759,2.8439,2009000
