Date,Open,High,Low,Close,Volume
1995-06-16,6.8017,7.2552,6.7473,6.8017,6212400
1995-06-19,6.8562,6.9151,6.4027,6.5206,1528200
1995-06-20,6.5750,6.6294,6.5206,6.5206,863000
1995-06-21,6.5750,6.5750,6.3483,6.4027,629000
1995-06-22,6.4027,6.8562,6.3483,6.6294,546200
1995-06-23,6.6884,6.7473,6.5750,6.6294,365000
1995-06-26,6.6294,6.6884,6.3483,6.4027,515400
1995-06-27,6.4617,6.4617,6.3483,6.3483,270800
1995-06-28,6.4027,6.4027,6.3483,6.3483,500400
1995-06-29,6.3483,6.4617,6.3483,6.3483,309200
1995-06-30,6.4027,6.5206,6.4027,6.4617,95000
1995-07-03,6.4027,6.4617,6.4027,6.4027,9200
1995-07-05,6.4617,6.4617,6.4027,6.4027,75600
1995-07-06,6.4027,6.4617,6.4027,6.4027,81400
1995-07-07,6.4027,6.9151,6.4027,6.8562,475000
1995-07-10,6.8017,7.0285,6.8017,7.0285,241400
1995-07-11,6.9151,7.7631,6.9151,7.7086,538600
1995-07-12,7.7086,8.2165,7.5953,8.1621,496200
1995-07-13,8.1621,8.1621,7.9898,8.1077,384000
1995-07-14,8.1077,8.1077,7.9354,8.1077,102200
1995-07-17,8.2165,8.6155,8.2165,8.5611,480200
1995-07-18,8.5611,8.5611,8.1621,8.2165,359200
1995-07-19,8.1621,8.1621,7.9898,8.0487,101600
1995-07-20,7.9354,7.9354,7.6542,7.8810,119600
1995-07-21,7.9354,7.9354,7.8810,7.8810,13000
1995-07-24,7.8810,7.9898,7.7631,7.7631,112000
1995-07-25,7.7631,7.9898,7.7631,7.9354,201000
1995-07-26,8.0487,8.3344,8.0487,8.2755,287800
1995-07-27,8.3344,8.5022,8.3344,8.4432,101600
1995-07-28,8.5022,8.5611,8.4432,8.4432,100400
1995-07-31,8.5022,8.5022,8.2165,8.3888,60800
1995-08-01,8.3344,8.3344,8.1621,8.2165,57600
1995-08-02,8.1621,8.1621,8.0487,8.0487,41000
1995-08-03,7.9898,7.9898,7.9354,7.9354,12600
1995-08-04,7.8220,7.8810,7.7631,7.8220,9000
1995-08-07,7.7631,7.9354,7.7631,7.8810,12200
1995-08-08,7.8220,7.8810,7.7631,7.7631,3200
1995-08-09,7.6542,7.6542,7.4275,7.4275,24000
1995-08-10,7.4819,7.4819,7.3686,7.3686,6800
1995-08-11,7.3686,7.3686,7.3686,7.3686,10000
1995-08-14,7.3096,7.3686,7.2008,7.2552,28200
1995-08-15,7.2552,7.3096,7.2552,7.2552,9400
1995-08-16,7.3096,7.4819,7.3096,7.4275,11800
1995-08-17,7.4275,7.5363,7.4275,7.4819,6200
1995-08-18,7.5953,7.5953,7.4819,7.4819,9800
1995-08-21,7.4819,7.6542,7.4819,7.5953,8600
1995-08-22,7.5363,7.6542,7.5363,7.6542,12400
1995-08-23,7.7086,7.8810,7.7086,7.7631,28800
1995-08-24,7.8220,7.9354,7.8220,7.9354,16200
1995-08-25,7.8220,7.8220,7.7631,7.7631,30200
1995-08-28,7.7631,7.7631,7.6542,7.6542,9200
1995-08-29,7.5953,7.5953,7.4275,7.4275,9200
1995-08-30,7.4819,7.4819,7.4275,7.4275,1400
1995-08-31,7.3686,7.4275,7.3686,7.3686,13800
1995-09-01,7.2552,7.3096,7.2552,7.3096,9200
1995-09-05,7.2552,7.3096,7.2552,7.2552,12200
1995-09-06,7.2008,7.3096,7.0829,7.0829,23400
1995-09-07,7.0829,7.1418,6.9151,7.0285,48800
1995-09-08,7.0285,7.2552,7.0285,7.2008,140200
1995-09-11,7.2008,7.2008,7.0829,7.1418,104000
1995-09-12,7.2008,7.2552,7.2008,7.2552,11000
1995-09-13,7.3686,7.3686,7.0829,7.0829,14600
1995-09-14,6.9151,7.0829,6.9151,7.0829,14800
1995-09-15,7.0285,7.0285,6.9741,7.0285,6200
1995-09-18,7.0285,7.0285,6.8017,6.8017,41600
1995-09-19,6.8562,6.9151,6.8017,6.8017,5000
1995-09-20,6.8017,6.8017,6.5206,6.5750,20800
1995-09-21,6.5206,6.6884,6.4617,6.6884,61000
1995-09-22,6.7473,6.8017,6.6884,6.6884,53400
1995-09-25,6.7473,6.8017,6.6294,6.6294,28200
1995-09-26,6.5750,6.6884,6.4617,6.6294,265000
1995-09-27,6.6294,6.6294,6.4027,6.4027,95200
1995-09-28,6.4617,6.5206,6.4027,6.5206,68600
1995-09-29,6.4617,6.5206,6.4617,6.5206,12200
1995-10-02,6.5206,6.5206,6.4027,6.4617,77400
1995-10-03,6.4617,6.4617,6.1216,6.1216,141400
1995-10-04,6.0082,6.0082,5.9493,5.9493,49000
1995-10-05,5.8404,6.6884,5.8404,6.6884,180400
1995-10-06,6.8562,6.8562,6.7473,6.8562,64800
1995-10-09,6.8017,6.8017,6.6294,6.6294,46200
1995-10-10,6.6294,6.6294,6.5750,6.6294,22800
1995-10-11,6.6294,6.6294,6.6294,6.6294,3400
1995-10-12,6.6884,6.7473,6.6294,6.6884,20200
1995-10-13,6.7473,6.8017,6.7473,6.8017,6800
1995-10-16,6.8017,6.8017,6.7473,6.7473,7400
1995-10-17,6.7473,6.8017,6.5750,6.6294,264800
1995-10-18,6.5750,6.5750,6.1216,6.1216,54400
1995-10-19,6.1216,6.2349,6.0082,6.1216,108800
1995-10-20,6.1216,6.1216,5.8948,5.8948,17000
1995-10-23,5.7225,5.8404,5.6681,5.7225,414800
1995-10-24,5.7225,5.7815,5.6681,5.6681,174400
1995-10-25,5.7225,5.7815,5.6137,5.7815,941600
1995-10-26,5.8404,5.8404,5.6137,5.6137,50000
1995-10-27,5.6137,5.6137,5.4414,5.4414,64400
1995-10-30,5.4414,5.4414,4.5889,4.6479,244400
1995-10-31,4.6479,4.6479,3.9087,3.9677,1446200
1995-11-01,3.9677,4.1355,3.9087,4.0810,787000
1995-11-02,4.0810,4.2534,4.0810,4.2534,427800
1995-11-03,4.3078,4.6479,4.2534,4.6479,153400
1995-11-06,4.7612,4.8156,4.3622,4.4211,100200
1995-11-07,4.4211,4.4801,4.3622,4.4211,32600
1995-11-08,4.4801,4.5345,4.4211,4.4801,60800
1995-11-09,4.5345,4.5345,4.3078,4.3078,37200
1995-11-10,4.3078,4.3622,4.1355,4.1355,71400
1995-11-13,4.1401,4.1401,3.9722,4.0312,59200
1995-11-14,4.0856,4.2581,4.0312,4.0856,82600
1995-11-15,4.0312,4.1401,4.0312,4.0856,21400
1995-11-16,4.0856,4.1401,4.0312,4.1401,19400
1995-11-17,4.1401,4.1401,4.0312,4.0312,23400
1995-11-20,4.0856,4.1991,4.0312,4.1401,29200
1995-11-21,4.1991,4.1991,4.0312,4.1991,50200
1995-11-22,4.1991,4.2581,4.0856,4.1401,70600
1995-11-24,4.1401,4.1401,4.0856,4.1401,22400
1995-11-27,4.1991,4.1991,4.0856,4.0856,151200
1995-11-28,4.0312,4.1401,3.9722,4.1401,590800
1995-11-29,4.1991,4.1991,4.1401,4.1991,18800
1995-11-30,4.2581,4.3126,4.1991,4.1991,137400
1995-12-01,4.1991,4.2581,4.1991,4.2581,145200
1995-12-04,4.1991,4.2581,4.1991,4.2581,15800
1995-12-05,4.2581,4.2581,4.0312,4.0312,36200
1995-12-06,4.0312,4.0856,3.9131,3.9131,41400
1995-12-07,3.9722,4.0856,3.9131,4.0856,124800
1995-12-08,4.0312,4.0856,3.9722,4.0312,68600
1995-12-11,3.9722,4.0312,3.9722,3.9722,36600
1995-12-12,4.0312,4.0856,4.0312,4.0312,29800
1995-12-13,4.0312,4.0312,3.9722,3.9722,72400
1995-12-14,4.0312,4.0312,3.9131,3.9722,400200
1995-12-15,3.9131,3.9722,3.9131,3.9722,39400
1995-12-18,4.0856,4.1991,4.0312,4.0856,202400
1995-12-19,4.0856,4.3671,4.0312,4.3671,232400
1995-12-20,4.3671,4.4261,4.2581,4.3126,182000
1995-12-21,4.3126,4.3126,4.1991,4.2581,377400
1995-12-22,4.2581,4.3126,4.1991,4.2581,253800
1995-12-26,4.3126,4.3126,4.1991,4.2581,386800
1995-12-27,4.3126,4.6531,4.2581,4.6531,476600
1995-12-28,4.6531,4.8801,4.5941,4.7666,366800
1995-12-29,4.8211,4.8801,4.7666,4.8211,171600
1996-01-02,4.8211,4.8801,4.6531,4.7121,88600
1996-01-03,4.7121,4.7121,4.4261,4.5396,101400
1996-01-04,4.4851,4.5941,4.4851,4.5396,122600
1996-01-05,4.5396,4.5396,4.4261,4.5396,67800
1996-01-08,4.5396,4.5396,4.4851,4.4851,82600
1996-01-09,4.5396,4.5396,4.3671,4.3671,177400
1996-01-10,4.4261,4.4261,4.2581,4.2581,110400
1996-01-11,4.3126,4.3126,4.1991,4.3126,58000
1996-01-12,4.3126,4.3126,4.1991,4.2581,73200
1996-01-15,4.3126,4.3126,4.2581,4.3126,74000
1996-01-16,4.2581,4.3126,4.1991,4.1991,56800
