Date,Open,High,Low,Close,Volume
1984-10-26,1.2288,1.2288,1.2099,1.2288,190800
1984-10-29,1.2239,1.2239,1.2004,1.2053,752400
1984-10-30,1.2053,1.2148,1.1864,1.1910,3979200
1984-10-31,1.1626,1.1910,1.1626,1.1766,2503200
1984-11-01,1.1486,1.1671,1.1486,1.1532,941400
1984-11-02,1.1626,1.1671,1.1532,1.1671,783600
1984-11-05,1.1671,1.1815,1.1671,1.1815,369000
1984-11-06,1.1766,1.2004,1.1766,1.2004,129000
1984-11-07,1.1955,1.2004,1.1815,1.1815,453600
1984-11-08,1.1815,1.1955,1.1766,1.1815,260400
1984-11-09,1.1910,1.1955,1.1815,1.1815,245400
1984-11-12,1.1815,1.1864,1.1766,1.1815,98400
1984-11-13,1.1864,1.1864,1.1721,1.1721,415800
1984-11-14,1.1671,1.1721,1.1626,1.1671,160800
1984-11-15,1.1626,1.1766,1.1626,1.1721,818400
1984-11-16,1.1671,1.1721,1.1626,1.1626,747000
1984-11-19,1.1626,1.1671,1.1532,1.1581,316800
1984-11-20,1.1486,1.1626,1.1486,1.1581,858600
1984-11-21,1.1486,1.1581,1.1437,1.1486,1343400
1984-11-23,1.1532,1.1671,1.1532,1.1626,1510200
1984-11-26,1.1671,1.1721,1.1626,1.1671,1132200
1984-11-27,1.1721,1.1721,1.1671,1.1671,248400
1984-11-28,1.1721,1.1766,1.1671,1.1721,697800
1984-11-29,1.1721,1.1766,1.1721,1.1721,290400
1984-11-30,1.1671,1.1721,1.1626,1.1671,313800
1984-12-03,1.1721,1.1721,1.1581,1.1626,2022000
1984-12-04,1.1581,1.1671,1.1532,1.1581,327600
1984-12-05,1.1581,1.1626,1.1486,1.1581,337800
1984-12-06,1.1532,1.1626,1.1532,1.1626,69000
1984-12-07,1.1626,1.1626,1.1532,1.1581,408600
1984-12-10,1.1626,1.1721,1.1626,1.1721,1078800
1984-12-11,1.1721,1.1721,1.1626,1.1721,243000
1984-12-12,1.1721,1.1766,1.1671,1.1671,452400
1984-12-13,1.1671,1.1766,1.1671,1.1766,385200
1984-12-14,1.1766,1.1766,1.1671,1.1766,524400
1984-12-17,1.1721,1.1766,1.1671,1.1766,150000
1984-12-18,1.1766,1.2004,1.1721,1.2004,256800
