Date,Open,High,Low,Close,Volume
1972-06-01,0.3011,0.3016,0.3007,0.3007,249600
1972-06-02,0.3016,0.3043,0.3016,0.3016,172800
1972-06-05,0.3016,0.3060,0.3007,0.3060,302400
1972-06-06,0.3060,0.3114,0.3052,0.3060,196800
1972-06-07,0.3060,0.3060,0.3033,0.3033,48000
1972-06-08,0.3033,0.3060,0.3025,0.3043,144000
1972-06-09,0.3043,0.3060,0.3025,0.3043,43200
1972-06-12,0.3060,0.3078,0.3060,0.3078,24000
1972-06-13,0.3070,0.3070,0.3025,0.3025,76800
1972-06-14,0.3025,0.3043,0.3025,0.3025,244800
1972-06-15,0.3043,0.3052,0.3043,0.3052,206400
1972-06-16,0.3052,0.3078,0.3052,0.3078,48000
1972-06-19,0.3060,0.3060,0.3052,0.3052,91200
1972-06-20,0.3052,0.3060,0.3052,0.3060,14400
1972-06-21,0.3060,0.3060,0.3052,0.3052,48000
1972-06-22,0.3052,0.3078,0.3043,0.3078,86400
1972-06-23,0.3096,0.3122,0.3096,0.3122,96000
1972-06-26,0.3122,0.3132,0.3096,0.3132,62400
1972-06-27,0.3149,0.3167,0.3149,0.3149,67200
1972-06-28,0.3176,0.3238,0.3176,0.3238,144000
1972-06-29,0.3229,0.3229,0.3229,0.3229,28800
1972-06-30,0.3238,0.3274,0.3238,0.3274,72000
1972-07-03,0.3274,0.3327,0.3274,0.3327,57600
1972-07-05,0.3327,0.3327,0.3292,0.3292,211200
1972-07-06,0.3309,0.3452,0.3309,0.3452,254400
1972-07-07,0.3452,0.3505,0.3452,0.3470,412800
1972-07-10,0.3470,0.3487,0.3452,0.3487,0
1972-07-11,0.3487,0.3497,0.3470,0.3487,2904000
1972-07-12,0.3487,0.3505,0.3487,0.3487,259200
1972-07-13,0.3487,0.3523,0.3487,0.3523,225600
1972-07-14,0.3523,0.3523,0.3497,0.3523,172800
1972-07-17,0.3523,0.3532,0.3505,0.3532,62400
1972-07-18,0.3532,0.3559,0.3514,0.3541,220800
1972-07-19,0.3541,0.3559,0.3523,0.3559,24000
1972-07-20,0.3559,0.3559,0.3532,0.3549,76800
1972-07-21,0.3549,0.3576,0.3549,0.3576,5712
1972-07-24,0.3576,0.3576,0.3559,0.3567,225600
1972-07-25,0.3567,0.3612,0.3567,0.3603,278400
1972-07-26,0.3612,0.3621,0.3612,0.3621,86400
1972-07-27,0.3621,0.3621,0.3559,0.3559,518400
1972-07-28,0.3576,0.3594,0.3576,0.3586,67200
1972-07-31,0.3586,0.3586,0.3567,0.3586,86400
1972-08-01,0.3586,0.3648,0.3567,0.3630,264000
1972-08-02,0.3630,0.3683,0.3612,0.3665,211200
1972-08-03,0.3665,0.3683,0.3630,0.3683,264000
1972-08-04,0.3701,0.3737,0.3701,0.3719,681600
1972-08-07,0.3754,0.3772,0.3754,0.3763,206400
1972-08-08,0.3763,0.3763,0.3754,0.3754,547200
1972-08-09,0.3754,0.3772,0.3737,0.3737,244800
1972-08-10,0.3754,0.3772,0.3754,0.3772,153600
1972-08-11,0.3772,0.3772,0.3763,0.3772,86400
1972-08-14,0.3772,0.3808,0.3772,0.3790,124800
1972-08-15,0.3808,0.3843,0.3808,0.3817,120000
1972-08-16,0.3843,0.3879,0.3843,0.3861,81600
1972-08-17,0.3870,0.3879,0.3870,0.3870,67200
1972-08-18,0.3914,0.3968,0.3914,0.3941,321600
1972-08-21,0.3941,0.3959,0.3941,0.3959,19200
1972-08-22,0.3968,0.4021,0.3968,0.4021,350400
1972-08-23,0.4021,0.4039,0.4003,0.4039,177600
1972-08-24,0.4039,0.4057,0.4039,0.4057,72000
1972-08-25,0.4048,0.4048,0.4021,0.4030,244800
1972-08-28,0.4030,0.4039,0.4013,0.4013,81600
1972-08-29,0.4003,0.4003,0.4003,0.4003,52800
1972-08-30,0.4003,0.4013,0.3986,0.3986,91200
1972-08-31,0.3994,0.4003,0.3994,0.3994,33600
1972-09-01,0.3994,0.4013,0.3994,0.4013,48000
1972-09-05,0.4013,0.4021,0.3994,0.3994,172800
1972-09-06,0.3986,0.3986,0.3968,0.3976,100800
1972-09-07,0.3959,0.3959,0.3932,0.3932,33600
1972-09-08,0.3914,0.3914,0.3861,0.3906,211200
1972-09-11,0.3906,0.3914,0.3897,0.3914,33600
1972-09-12,0.3924,0.3959,0.3924,0.3950,139200
1972-09-13,0.3950,0.3968,0.3950,0.3950,134400
1972-09-14,0.3950,0.3968,0.3950,0.3950,230400
1972-09-15,0.3950,0.3968,0.3950,0.3968,0
1972-09-18,0.3950,0.3950,0.3924,0.3950,91200
1972-09-19,0.3950,0.3950,0.3950,0.3950,52800
1972-09-20,0.3950,0.3950,0.3914,0.3914,187200
1972-09-21,0.3924,0.3950,0.3924,0.3950,72000
1972-09-22,0.3950,0.3968,0.3950,0.3950,67200
1972-09-25,0.3950,0.3959,0.3932,0.3932,144000
1972-09-26,0.3932,0.3932,0.3887,0.3914,134400
1972-09-27,0.3897,0.3897,0.3843,0.3861,192000
1972-09-28,0.3843,0.3843,0.3808,0.3808,129600
1972-09-29,0.3808,0.3835,0.3790,0.3825,148800
1972-10-02,0.3843,0.3879,0.3843,0.3879,72000
1972-10-03,0.3879,0.3914,0.3861,0.3897,124800
1972-10-04,0.3914,0.3950,0.3914,0.3950,67200
1972-10-05,0.3968,0.3994,0.3968,0.3976,432000
1972-10-06,0.3976,0.3994,0.3976,0.3986,787200
1972-10-09,0.4003,0.4021,0.4003,0.4021,57600
1972-10-10,0.4013,0.4013,0.3986,0.4003,115200
1972-10-11,0.4003,0.4013,0.3986,0.4013,163200
1972-10-12,0.4013,0.4013,0.3986,0.3986,33600
1972-10-13,0.3968,0.3968,0.3897,0.3897,86400
1972-10-16,0.3870,0.3870,0.3790,0.3790,67200
1972-10-17,0.3781,0.3781,0.3745,0.3772,96000
1972-10-18,0.3808,0.3843,0.3808,0.3843,139200
1972-10-19,0.3843,0.3861,0.3843,0.3843,57600
1972-10-20,0.3843,0.3887,0.3843,0.3870,96000
1972-10-23,0.3897,0.4021,0.3897,0.4021,192000
1972-10-24,0.4021,0.4048,0.4003,0.4021,124800
1972-10-25,0.4021,0.4021,0.3986,0.3986,38400
1972-10-26,0.3986,0.4039,0.3959,0.3959,172800
1972-10-27,0.3968,0.3976,0.3968,0.3968,76800
1972-10-30,0.3968,0.4003,0.3968,0.4003,72000
1972-10-31,0.4003,0.4039,0.3994,0.4021,148800
1972-11-01,0.4021,0.4057,0.4021,0.4057,96000
1972-11-02,0.4057,0.4092,0.4057,0.4057,230400
1972-11-03,0.4075,0.4092,0.4075,0.4075,110400
1972-11-06,0.4075,0.4092,0.4057,0.4057,105600
1972-11-08,0.4057,0.4075,0.4057,0.4075,96000
1972-11-09,0.4075,0.4110,0.4075,0.4083,124800
1972-11-10,0.4101,0.4146,0.4101,0.4146,201600
1972-11-13,0.4146,0.4155,0.4128,0.4155,57600
1972-11-14,0.4128,0.4128,0.4119,0.4119,52800
1972-11-15,0.4119,0.4146,0.4110,0.4137,86400
1972-11-16,0.4137,0.4137,0.4128,0.4128,33600
1972-11-17,0.4128,0.4146,0.4101,0.4128,177600
1972-11-20,0.4119,0.4119,0.4101,0.4101,33600
1972-11-21,0.4101,0.4101,0.4092,0.4092,158400
1972-11-22,0.4110,0.4137,0.4110,0.4110,163200
1972-11-24,0.4110,0.4146,0.4110,0.4128,76800
1972-11-27,0.4110,0.4110,0.4092,0.4110,144000
1972-11-28,0.4110,0.4110,0.4092,0.4092,182400
1972-11-29,0.4092,0.4092,0.4092,0.4092,4800
1972-11-30,0.4092,0.4092,0.4075,0.4075,316800
1972-12-01,0.4075,0.4110,0.4075,0.4101,172800
1972-12-04,0.4101,0.4110,0.4092,0.4092,67200
1972-12-05,0.4092,0.4110,0.4083,0.4110,72000
1972-12-06,0.4110,0.4110,0.4075,0.4083,153600
1972-12-07,0.4083,0.4101,0.4075,0.4101,144000
1972-12-08,0.4101,0.4101,0.4075,0.4083,62400
1972-12-11,0.4083,0.4110,0.4083,0.4092,86400
1972-12-12,0.4092,0.4110,0.4083,0.4083,216000
1972-12-13,0.4083,0.4092,0.4075,0.4092,86400
1972-12-14,0.4092,0.4119,0.4083,0.4092,172800
1972-12-15,0.4092,0.4119,0.4083,0.4119,110400
1972-12-18,0.4119,0.4128,0.4092,0.4110,52800
1972-12-19,0.4110,0.4146,0.4101,0.4128,124800
1972-12-20,0.4128,0.4146,0.4119,0.4146,81600
1972-12-21,0.4146,0.4181,0.4110,0.4181,96000
1972-12-22,0.4181,0.4181,0.4137,0.4155,76800
1972-12-26,0.4155,0.4155,0.4155,0.4155,14400
1972-12-27,0.4155,0.4199,0.4146,0.4181,168000
1972-12-29,0.4199,0.4359,0.4199,0.4359,182400
1973-01-02,0.4413,0.4466,0.4413,0.4466,96000
1973-01-03,0.4466,0.4502,0.4430,0.4430,76800
1973-01-04,0.4430,0.4466,0.4421,0.4466,48000
1973-01-05,0.4466,0.4475,0.4421,0.4457,72000
1973-01-08,0.4448,0.4448,0.4413,0.4413,86400
1973-01-09,0.4413,0.4413,0.4413,0.4413,139200
1973-01-10,0.4440,0.4466,0.4440,0.4466,86400
1973-01-11,0.4466,0.4555,0.4457,0.4537,225600
1973-01-12,0.4537,0.4591,0.4537,0.4537,91200
1973-01-15,0.4537,0.4573,0.4537,0.4573,67200
1973-01-16,0.4573,0.4591,0.4546,0.4591,100800
1973-01-17,0.4591,0.4608,0.4484,0.4492,350400
1973-01-18,0.4492,0.4510,0.4466,0.4502,67200
1973-01-19,0.4502,0.4519,0.4466,0.4502,48000
1973-01-22,0.4519,0.4546,0.4519,0.4546,43200
1973-01-23,0.4546,0.4555,0.4484,0.4510,216000
1973-01-24,0.4510,0.4537,0.4502,0.4537,81600
1973-01-26,0.4492,0.4492,0.4395,0.4395,235200
1973-01-29,0.4395,0.4430,0.4395,0.4430,139200
1973-01-30,0.4413,0.4413,0.4359,0.4359,331200
1973-01-31,0.4359,0.4395,0.4359,0.4359,48000
1973-02-01,0.4306,0.4306,0.4253,0.4253,206400
1973-02-02,0.4253,0.4270,0.4199,0.4235,48000
1973-02-05,0.4235,0.4235,0.4164,0.4164,115200
1973-02-06,0.4128,0.4128,0.4057,0.4057,273600
1973-02-07,0.4003,0.4003,0.3914,0.3914,158400
1973-02-08,0.3914,0.3914,0.3861,0.3897,398400
1973-02-09,0.3914,0.3986,0.3914,0.3986,91200
1973-02-12,0.4003,0.4057,0.4003,0.4003,427200
1973-02-13,0.4003,0.4021,0.3986,0.4021,115200
1973-02-14,0.4021,0.4021,0.3986,0.3986,105600
1973-02-15,0.3950,0.3950,0.3914,0.3914,76800
1973-02-16,0.3914,0.3914,0.3861,0.3861,81600
1973-02-20,0.3861,0.3861,0.3843,0.3843,72000
1973-02-21,0.3843,0.3879,0.3835,0.3879,52800
1973-02-22,0.3861,0.3861,0.3835,0.3835,62400
1973-02-23,0.3817,0.3817,0.3781,0.3781,105600
1973-02-26,0.3781,0.3790,0.3754,0.3790,120000
1973-02-27,0.3790,0.3808,0.3772,0.3808,206400
1973-02-28,0.3799,0.3799,0.3781,0.3799,24000
1973-03-01,0.3817,0.3843,0.3817,0.3817,100800
1973-03-02,0.3817,0.3843,0.3799,0.3835,52800
1973-03-05,0.3879,0.3932,0.3879,0.3914,96000
1973-03-06,0.3914,0.3932,0.3897,0.3897,57600
1973-03-07,0.3897,0.3897,0.3861,0.3879,81600
1973-03-08,0.3887,0.3968,0.3887,0.3950,148800
1973-03-09,0.3950,0.3968,0.3932,0.3968,62400
1973-03-12,0.3968,0.3968,0.3950,0.3968,76800
1973-03-13,0.3968,0.3968,0.3932,0.3959,48000
1973-03-14,0.3986,0.4013,0.3986,0.4013,38400
1973-03-15,0.4013,0.4030,0.3994,0.4030,72000
1973-03-16,0.4030,0.4057,0.4021,0.4021,100800
1973-03-19,0.4021,0.4048,0.4013,0.4030,38400
1973-03-20,0.4021,0.4021,0.3968,0.3986,264000
1973-03-21,0.3986,0.3986,0.3968,0.3986,105600
1973-03-22,0.3986,0.3986,0.3968,0.3968,153600
1973-03-23,0.3959,0.3959,0.3950,0.3959,52800
1973-03-26,0.3968,0.3986,0.3968,0.3986,76800
1973-03-27,0.3986,0.3986,0.3986,0.3986,4800
1973-03-28,0.4021,0.4039,0.4021,0.4039,28800
1973-03-29,0.4039,0.4057,0.4003,0.4048,57600
1973-03-30,0.4048,0.4075,0.4021,0.4021,96000
1973-04-02,0.4003,0.4003,0.3950,0.3968,153600
1973-04-03,0.3968,0.3968,0.3968,0.3968,96000
1973-04-04,0.3986,0.4003,0.3986,0.4003,28800
1973-04-05,0.4003,0.4021,0.3968,0.3968,72000
1973-04-06,0.3968,0.3994,0.3968,0.3968,48000
1973-04-09,0.3986,0.4021,0.3986,0.4021,105600
1973-04-10,0.4057,0.4075,0.4057,0.4057,19200
1973-04-11,0.4057,0.4075,0.4039,0.4075,38400
1973-04-12,0.4057,0.4057,0.4039,0.4039,67200
1973-04-13,0.4039,0.4039,0.3986,0.4021,163200
1973-04-16,0.4030,0.4075,0.4030,0.4039,57600
1973-04-17,0.4039,0.4057,0.4039,0.4057,14400
1973-04-18,0.4092,0.4092,0.4092,0.4092,76800
1973-04-19,0.4092,0.4110,0.4057,0.4110,192000
1973-04-23,0.4110,0.4128,0.4092,0.4110,62400
1973-04-24,0.4110,0.4128,0.4075,0.4128,91200
1973-04-25,0.4128,0.4128,0.4092,0.4128,57600
1973-04-26,0.4110,0.4110,0.4075,0.4075,52800
1973-04-27,0.4075,0.4092,0.4021,0.4021,115200
1973-04-30,0.3994,0.3994,0.3914,0.3994,508800
1973-05-01,0.3994,0.4021,0.3994,0.4021,273600
1973-05-02,0.4021,0.4021,0.3994,0.3994,38400
1973-05-03,0.3994,0.4030,0.3994,0.4030,268800
1973-05-04,0.4030,0.4065,0.3994,0.4065,1185600
1973-05-07,0.4030,0.4030,0.3994,0.3994,52800
1973-05-08,0.4030,0.4065,0.4030,0.4065,38400
1973-05-09,0.4065,0.4065,0.4030,0.4065,76800
1973-05-10,0.4030,0.4030,0.3994,0.3994,552000
1973-05-11,0.3994,0.3994,0.3994,0.3994,28800
1973-05-14,0.3959,0.3959,0.3959,0.3959,67200
1973-05-15,0.3959,0.3959,0.3932,0.3959,62400
1973-05-16,0.3959,0.3994,0.3959,0.3959,172800
1973-05-17,0.3932,0.3932,0.3861,0.3861,81600
1973-05-18,0.3861,0.3897,0.3861,0.3861,360000
1973-05-21,0.3861,0.3861,0.3825,0.3825,148800
1973-05-22,0.3825,0.3825,0.3825,0.3825,100800
1973-05-23,0.3825,0.3825,0.3790,0.3825,124800
1973-05-24,0.3825,0.3825,0.3790,0.3825,14400
1973-05-25,0.3825,0.3825,0.3754,0.3825,57600
1973-05-29,0.3825,0.3861,0.3825,0.3861,43200
1973-05-30,0.3861,0.3932,0.3861,0.3897,168000
1973-05-31,0.3897,0.3932,0.3861,0.3932,72000
1973-06-01,0.3932,0.3994,0.3932,0.3959,33600
1973-06-04,0.3959,0.3959,0.3932,0.3959,57600
1973-06-05,0.3959,0.4065,0.3959,0.4030,331200
1973-06-06,0.4065,0.4065,0.4065,0.4065,28800
1973-06-07,0.4065,0.4065,0.4065,0.4065,115200
