Date,Open,High,Low,Close,Volume
1991-09-30,9.9550,9.9550,9.6703,9.6703,5200
1991-10-01,9.9550,9.9550,9.6703,9.9550,3000
1991-10-02,9.6703,10.0974,9.6703,9.6703,15800
1991-10-03,9.6703,10.0974,9.6703,10.0974,1000
1991-10-04,9.6703,10.0974,9.6703,9.6703,3700
1991-10-07,9.6703,10.0974,9.6703,9.6703,3000
1991-10-08,9.6703,10.2398,9.6703,10.2398,32900
1991-10-09,9.6703,10.2398,9.6703,9.8127,6200
1991-10-10,10.2398,10.2398,9.6703,9.7443,4400
1991-10-11,9.6703,10.2398,9.6703,9.6703,28400
1991-10-14,9.6703,10.2398,9.6703,9.6703,6500
1991-10-15,9.6703,9.8127,9.2432,9.2432,77500
1991-10-16,9.2432,9.6703,9.2432,9.2432,7000
1991-10-17,9.3855,9.8127,9.3855,9.6703,6400
1991-10-18,9.8127,9.8127,9.3855,9.8127,5400
1991-10-21,9.3855,9.6703,9.3855,9.6703,5000
1991-10-22,9.3855,9.3855,9.3855,9.3855,800
1991-10-23,9.3855,9.8127,9.3855,9.8127,500
1991-10-24,9.3855,9.6703,9.2432,9.2432,8700
1991-10-25,9.3855,9.3855,9.2432,9.2432,1500
1991-10-28,9.2432,9.6703,9.2432,9.6703,6500
1991-10-29,9.2432,9.2432,9.2432,9.2432,3000
1991-10-30,9.6703,9.6703,9.1008,9.1748,5700
1991-10-31,9.1008,9.5279,9.1008,9.5279,1200
1991-11-01,9.5279,9.5279,9.1008,9.1008,2600
1991-11-04,9.1008,9.5279,9.1008,9.5279,20500
1991-11-05,9.1008,9.3855,8.9584,8.9584,6500
1991-11-06,8.9584,9.2432,8.8217,8.8217,10600
1991-11-07,8.8217,9.1008,8.8217,8.8217,700
1991-11-08,8.8217,9.2432,8.8217,8.8217,3100
1991-11-11,8.8217,9.2432,8.8217,9.2432,35700
1991-11-12,8.9584,8.9584,8.9584,8.9584,200
1991-11-13,8.9698,8.9698,8.9698,8.9698,0
1991-11-14,8.9584,9.2432,8.9584,8.9584,400
1991-11-15,9.2432,9.3855,8.9584,8.9584,13600
1991-11-18,8.9584,8.9584,8.9584,8.9584,600
1991-11-19,9.3855,9.3855,8.8217,8.8217,18200
1991-11-20,9.2432,9.5279,8.8217,9.5279,36100
1991-11-21,9.5279,9.5279,9.1008,9.4596,14100
1991-11-22,9.5279,9.5279,9.1008,9.1008,4300
1991-11-25,9.3172,9.3855,8.8217,8.8217,41000
1991-11-26,9.1008,9.2432,8.9584,9.2432,4200
1991-11-27,9.2432,9.2432,8.9584,9.2432,7900
1991-11-29,9.2432,9.2432,8.9584,9.1008,2700
1991-12-02,8.9584,9.2432,8.8217,8.9584,17300
1991-12-03,8.8217,9.2432,8.8217,9.1748,7000
1991-12-04,8.9584,9.6703,8.9584,9.3855,20300
1991-12-05,9.3855,10.0974,9.3855,9.6703,28500
1991-12-06,9.6703,10.2398,9.6703,9.6703,10200
1991-12-09,9.6703,10.2398,9.6703,9.9550,41800
1991-12-10,9.6703,10.2398,9.6703,10.0291,5600
1991-12-11,9.8127,10.2398,9.8127,10.2398,1500
1991-12-12,9.8127,10.2398,9.8127,9.8127,2300
1991-12-13,9.8127,10.1715,9.8127,10.1715,8600
1991-12-16,9.8127,10.2398,9.8127,9.9550,11000
1991-12-17,9.8127,10.2398,9.8127,9.9550,22700
1991-12-18,9.8127,10.2398,9.8127,10.0974,7100
1991-12-19,9.8127,10.2398,9.6703,10.2398,14200
1991-12-20,9.6703,10.2398,9.6703,9.6703,49700
1991-12-23,9.6703,10.2398,9.5279,9.8127,11000
1991-12-24,9.5279,10.0974,9.5279,9.5279,3800
1991-12-26,9.5279,10.0974,9.5279,10.0974,3800
1991-12-27,9.5279,10.0974,9.5279,10.0974,2500
1991-12-30,9.5279,10.0974,9.5279,10.0974,9000
1991-12-31,10.0974,10.0974,9.5279,9.9550,27400
1992-01-02,9.5279,10.2398,9.5279,10.2398,28400
1992-01-03,9.6703,10.5246,9.6703,10.2398,7300
1992-01-06,10.5246,10.5246,10.0291,10.0291,16500
1992-01-07,10.3822,10.3822,9.7443,9.8127,18400
1992-01-08,9.6703,10.2398,9.6703,10.0974,9300
1992-01-09,9.6703,10.0974,9.6703,9.6703,19700
1992-01-10,9.6703,10.0974,9.2432,9.6703,17200
1992-01-13,9.8127,9.8127,9.2432,9.8127,62900
1992-01-14,9.5279,9.8127,9.5279,9.8127,10600
1992-01-15,9.5279,9.8127,9.5279,9.6703,11800
1992-01-16,9.6703,9.6703,9.5279,9.5279,4100
1992-01-17,9.5279,9.5279,9.5279,9.5279,3200
1992-01-20,9.5279,9.8127,9.5279,9.8127,3500
1992-01-21,9.5279,9.9550,9.5279,9.9550,2700
1992-01-22,9.5279,9.9550,9.5279,9.9550,3500
1992-01-23,9.5279,9.8127,9.3855,9.8127,20800
1992-01-24,9.8127,9.8127,9.3855,9.3855,2600
1992-01-27,9.8127,9.8127,9.3855,9.6703,1900
1992-01-28,9.8127,9.8127,9.3855,9.3855,1800
