Date,Open,High,Low,Close,Volume
1981-12-31,0.9012,0.9199,0.8829,0.8950,521802
1982-01-04,0.8950,0.8993,0.8868,0.8993,224400
1982-01-05,0.8666,0.8911,0.8378,0.8584,686202
1982-01-06,0.8460,0.8584,0.8339,0.8339,1118298
1982-01-07,0.8296,0.8460,0.8093,0.8296,831300
1982-01-08,0.8420,0.8502,0.8296,0.8420,682200
1982-01-11,0.8214,0.8502,0.7891,0.7972,558000
1982-01-12,0.7972,0.8054,0.7848,0.7930,520998
1982-01-13,0.7848,0.8093,0.7564,0.7642,753498
1982-01-14,0.7603,0.7642,0.7521,0.7564,700602
1982-01-15,0.8175,0.8747,0.7564,0.8502,2531802
1982-01-18,0.8502,0.8626,0.8339,0.8502,1624200
1982-01-19,0.8214,0.8460,0.7930,0.7930,986802
1982-01-20,0.8339,0.8666,0.7972,0.8545,1433502
1982-01-21,0.8950,0.9238,0.8626,0.8911,2398002
1982-01-22,0.8829,0.8950,0.8708,0.8787,877002
1982-01-25,0.8460,0.8708,0.8214,0.8545,917100
1982-01-26,0.8626,0.8708,0.8502,0.8626,1245798
1982-01-27,0.8708,0.8911,0.8502,0.8911,915600
1982-01-28,0.9117,0.9441,0.8787,0.9441,2878302
1982-01-29,0.9441,0.9565,0.9156,0.9280,1789398
1982-02-01,0.9156,0.9320,0.8993,0.9199,1104000
1982-02-02,0.9401,0.9604,0.9199,0.9441,1726902
1982-02-03,0.9604,0.9771,0.9441,0.9604,2005098
1982-02-04,0.9565,0.9892,0.9238,0.9320,1691598
1982-02-05,0.9238,0.9441,0.8993,0.9074,987702
1982-02-08,0.8584,0.9032,0.8093,0.8175,1714902
1982-02-09,0.8214,0.8378,0.8054,0.8296,1166400
1982-02-10,0.8460,0.8747,0.8175,0.8626,4347000
1982-02-11,0.8626,0.8747,0.8460,0.8626,2741898
1982-02-12,0.8868,0.8993,0.8708,0.8993,1955400
1982-02-16,0.8747,0.8950,0.8545,0.8747,1200102
1982-02-17,0.8747,0.8950,0.8502,0.8502,1079802
1982-02-18,0.8460,0.8708,0.8214,0.8296,1259400
1982-02-19,0.8214,0.8339,0.8093,0.8175,2927898
1982-02-22,0.7766,0.8257,0.7276,0.7400,1726002
1982-02-23,0.7521,0.7685,0.7358,0.7642,1511202
1982-02-24,0.7685,0.7972,0.7400,0.7972,1133502
1982-02-25,0.7766,0.7930,0.7564,0.7642,561198
1982-02-26,0.7564,0.7685,0.7439,0.7603,1085502
1982-03-01,0.7521,0.7603,0.7439,0.7564,534702
1982-03-02,0.7318,0.7603,0.6991,0.7112,1033302
1982-03-03,0.6910,0.7070,0.6704,0.6704,1576098
1982-03-04,0.6579,0.6867,0.6295,0.6377,1557702
1982-03-05,0.6377,0.6498,0.6213,0.6377,1187298
1982-03-08,0.6256,0.6540,0.5925,0.6089,823302
1982-03-09,0.6050,0.6213,0.5886,0.6089,2048400
1982-03-10,0.6295,0.6498,0.6050,0.6256,554700
1982-03-11,0.6377,0.6458,0.6256,0.6337,521802
1982-03-12,0.6419,0.6579,0.6256,0.6295,601200
1982-03-15,0.6337,0.6458,0.6213,0.6458,625302
1982-03-16,0.6377,0.6458,0.6295,0.6337,319698
1982-03-17,0.6337,0.6419,0.6213,0.6377,458502
1982-03-18,0.6377,0.6458,0.6256,0.6295,335802
1982-03-19,0.6419,0.6867,0.6337,0.6828,768702
1982-03-22,0.6991,0.7112,0.6867,0.6991,2114202
1982-03-23,0.6828,0.7031,0.6579,0.6661,554700
1982-03-24,0.6540,0.6746,0.6337,0.6498,407202
1982-03-25,0.6622,0.6828,0.6419,0.6540,1291500
1982-03-26,0.6498,0.6540,0.6419,0.6498,533100
1982-03-29,0.6540,0.6661,0.6458,0.6661,394302
1982-03-30,0.6579,0.6661,0.6458,0.6498,393600
1982-03-31,0.6540,0.6579,0.6458,0.6458,440802
1982-04-01,0.6579,0.6746,0.6419,0.6661,573900
1982-04-02,0.6704,0.6785,0.6622,0.6704,563502
1982-04-05,0.6661,0.6704,0.6579,0.6622,351000
1982-04-06,0.6622,0.6661,0.6579,0.6661,375102
1982-04-07,0.6661,0.6704,0.6579,0.6661,468102
