Date,Open,High,Low,Close,Volume
1984-09-07,0.1266,0.1301,0.1266,0.1266,129573
1984-09-10,0.1266,0.1301,0.1266,0.1266,400945
1984-09-11,0.1266,0.1301,0.1266,0.1266,506241
1984-09-12,0.1266,0.1301,0.1266,0.1266,783668
1984-09-13,0.1266,0.1301,0.1266,0.1266,170458
1984-09-14,0.1266,0.1301,0.1266,0.1266,816076
1984-09-17,0.1266,0.1301,0.1253,0.1253,390162
1984-09-18,0.1253,0.1290,0.1253,0.1253,102240
1984-09-19,0.1253,0.1283,0.1253,0.1253,913299
1984-09-20,0.1253,0.1283,0.1253,0.1253,113715
1984-09-21,0.1253,0.1283,0.1253,0.1253,378686
1984-09-24,0.1253,0.1283,0.1253,0.1253,102240
1984-09-25,0.1253,0.1283,0.1253,0.1253,528846
1984-09-26,0.1301,0.1374,0.1301,0.1301,1947348
1984-09-27,0.1512,0.1518,0.1512,0.1512,406020
1984-09-28,0.1512,0.1518,0.1512,0.1512,1036125
1984-10-01,0.1470,0.1470,0.1422,0.1422,205518
1984-10-02,0.1422,0.1470,0.1422,0.1422,286884
1984-10-03,0.1422,0.1446,0.1398,0.1398,229853
1984-10-04,0.1446,0.1470,0.1446,0.1446,446846
1984-10-05,0.1482,0.1500,0.1482,0.1482,598736
1984-10-08,0.1518,0.1548,0.1518,0.1518,390162
1984-10-09,0.1548,0.1555,0.1548,0.1548,1046274
1984-10-10,0.1548,0.1548,0.1500,0.1500,875125
1984-10-11,0.1531,0.1555,0.1531,0.1531,414439
1984-10-12,0.1531,0.1548,0.1500,0.1500,137012
1984-10-15,0.1500,0.1518,0.1500,0.1500,308162
1984-10-16,0.1500,0.1518,0.1500,0.1500,713836
1984-10-17,0.1500,0.1518,0.1500,0.1500,482945
1984-10-18,0.1500,0.1518,0.1500,0.1500,598736
1984-10-19,0.1500,0.1518,0.1500,0.1500,759391
1984-10-22,0.1500,0.1518,0.1470,0.1470,82346
1984-10-23,0.1470,0.1500,0.1470,0.1470,516736
1984-10-24,0.1470,0.1500,0.1470,0.1470,221722
1984-10-25,0.1470,0.1500,0.1470,0.1470,898075
1984-10-26,0.1470,0.1500,0.1470,0.1470,2005071
1984-10-29,0.1470,0.1500,0.1446,0.1446,724273
1984-10-30,0.1446,0.1500,0.1446,0.1446,55012
1984-10-31,0.1446,0.1470,0.1422,0.1422,424242
1984-11-01,0.1446,0.1500,0.1446,0.1446,590605
1984-11-02,0.1446,0.1548,0.1446,0.1446,1554188
1984-11-05,0.1446,0.1518,0.1446,0.1446,820458
1984-11-06,0.1446,0.1500,0.1446,0.1446,1859294
1984-11-07,0.1446,0.1500,0.1446,0.1446,1128274
1984-11-08,0.1446,0.1470,0.1428,0.1428,667242
1984-11-09,0.1428,0.1470,0.1422,0.1422,1490411
1984-11-12,0.1422,0.1446,0.1422,0.1422,553181
1984-11-13,0.1422,0.1446,0.1410,0.1410,390162
1984-11-14,0.1410,0.1446,0.1410,0.1410,344606
1984-11-15,0.1410,0.1446,0.1410,0.1410,246057
1984-11-16,0.1410,0.1446,0.1410,0.1410,482945
1984-11-19,0.1410,0.1446,0.1398,0.1398,291612
1984-11-20,0.1398,0.1446,0.1398,0.1398,332439
1984-11-21,0.1398,0.1422,0.1374,0.1374,91457
1984-11-23,0.1374,0.1422,0.1374,0.1374,123519
1984-11-26,0.1374,0.1422,0.1374,0.1374,359772
1984-11-27,0.1374,0.1374,0.1320,0.1320,262549
1984-11-28,0.1337,0.1361,0.1337,0.1337,246057
1984-11-29,0.1350,0.1361,0.1350,0.1350,1189687
1984-11-30,0.1410,0.1422,0.1410,0.1410,1336849
1984-12-03,0.1410,0.1422,0.1374,0.1374,184297
1984-12-04,0.1392,0.1398,0.1392,0.1392,598736
1984-12-05,0.1398,0.1422,0.1398,0.1398,2604499
1984-12-06,0.1398,0.1422,0.1392,0.1392,544070
1984-12-07,0.1398,0.1422,0.1398,0.1398,482945
1984-12-10,0.1398,0.1446,0.1398,0.1398,574401
1984-12-11,0.1422,0.1446,0.1422,0.1422,516736
1984-12-12,0.1422,0.1422,0.1398,0.1398,598736
