Date,Open,High,Low,Close,Volume
1990-03-26,0.7539,0.7778,0.7479,0.7539,378108
1990-03-27,0.7419,0.7419,0.7359,0.7419,141777
1990-03-28,0.7419,0.7419,0.7300,0.7419,60885
1990-03-29,0.7300,0.7359,0.7180,0.7359,173826
1990-03-30,0.7359,0.7359,0.7120,0.7359,43254
1990-04-02,0.7359,0.7539,0.7120,0.7419,274779
1990-04-03,0.7659,0.7778,0.7479,0.7599,757809
1990-04-04,0.7718,0.7778,0.7599,0.7718,318033
1990-04-05,0.7599,0.7718,0.7479,0.7718,177849
1990-04-06,0.7718,0.7718,0.7599,0.7718,180252
1990-04-09,0.7718,0.7718,0.7599,0.7599,101736
1990-04-10,0.7718,0.7838,0.7659,0.7838,339660
1990-04-11,0.7838,0.7838,0.7659,0.7778,464616
1990-04-12,0.7659,0.7838,0.7659,0.7838,55269
1990-04-16,0.7838,0.7838,0.7659,0.7838,60885
1990-04-17,0.7838,0.8018,0.7778,0.8018,238707
1990-04-18,0.8018,0.8018,0.7778,0.7778,728973
1990-04-19,0.8018,0.8018,0.8018,0.8018,32049
1990-04-20,0.8018,0.8018,0.7778,0.7898,201879
1990-04-23,0.7778,0.7838,0.7718,0.7838,36855
1990-04-24,0.7718,0.7838,0.7659,0.7778,118557
1990-04-25,0.7539,0.7718,0.7539,0.7718,325242
1990-04-26,0.7659,0.7778,0.7659,0.7778,22437
1990-04-27,0.7659,0.7659,0.7659,0.7659,108135
1990-04-30,0.7659,0.7718,0.7539,0.7718,595998
1990-05-01,0.7778,0.7778,0.7599,0.7778,65691
1990-05-02,0.7838,0.7838,0.7718,0.7838,269973
1990-05-03,0.7838,0.7898,0.7718,0.7898,140184
1990-05-04,0.7898,0.7898,0.7778,0.7778,130572
1990-05-07,0.7958,0.8018,0.7778,0.7958,140184
1990-05-08,0.8197,0.8197,0.8018,0.8018,15228
1990-05-09,0.8018,0.8197,0.8018,0.8197,255528
1990-05-10,0.8197,0.8197,0.8018,0.8197,28836
1990-05-11,0.8197,0.8317,0.8137,0.8317,545535
1990-05-14,0.8317,0.8556,0.8197,0.8556,442989
1990-05-15,0.8556,0.8975,0.8556,0.8855,378108
1990-05-16,0.8855,0.9035,0.8736,0.8855,259551
1990-05-17,0.8855,0.8975,0.8736,0.8855,378108
1990-05-18,0.8855,0.9274,0.8855,0.9274,930852
1990-05-21,0.9334,0.9334,0.9095,0.9214,205065
1990-05-22,0.9334,0.9334,0.8975,0.8975,612819
1990-05-23,0.9214,0.9214,0.8975,0.9214,346059
1990-05-24,0.9214,0.9214,0.8975,0.9154,767421
1990-05-25,0.9095,0.9214,0.9095,0.9095,75303
1990-05-29,0.9095,0.9454,0.9095,0.9454,374895
1990-05-30,0.9334,0.9454,0.9334,0.9394,1596537
1990-05-31,0.9394,0.9454,0.9214,0.9214,512676
1990-06-01,0.9214,0.9394,0.9214,0.9394,320436
1990-06-04,0.9394,0.9394,0.9305,0.9305,271566
1990-06-05,0.9214,0.9425,0.9214,0.9394,800280
1990-06-06,0.9454,0.9513,0.9394,0.9394,314820
1990-06-07,0.9513,0.9513,0.9035,0.9035,540729
1990-06-08,0.8975,0.9214,0.8975,0.9154,368496
1990-06-11,0.8975,0.9214,0.8975,0.9035,177849
1990-06-12,0.9214,0.9214,0.9035,0.9214,1453950
1990-06-13,0.9214,0.9513,0.9214,0.9334,281178
1990-06-14,0.9274,0.9513,0.9274,0.9274,158598
1990-06-15,0.9394,0.9394,0.9274,0.9274,33642
1990-06-18,0.9513,0.9513,0.9274,0.9274,36855
1990-06-19,0.9513,0.9513,0.9274,0.9513,21627
1990-06-20,0.9513,0.9513,0.9274,0.9454,129762
1990-06-21,0.9334,0.9454,0.9095,0.9334,325242
1990-06-22,0.9154,0.9334,0.9095,0.9095,80109
1990-06-25,0.9095,0.9214,0.8855,0.8855,334854
1990-06-26,0.8855,0.8855,0.8436,0.8616,459000
1990-06-27,0.8436,0.8616,0.8436,0.8616,166617
1990-06-28,0.8616,0.8736,0.8616,0.8736,281178
1990-06-29,0.8736,0.8736,0.8496,0.8496,606420
1990-07-02,0.8706,0.9244,0.8706,0.9022,338580
1990-07-03,0.9244,0.9244,0.8975,0.9244,101664
1990-07-05,0.9244,0.9244,0.8975,0.9065,262584
1990-07-06,0.9065,0.9065,0.8885,0.8885,284184
1990-07-09,0.9065,0.9065,0.8885,0.8885,32022
1990-07-10,0.9065,0.9065,0.8706,0.8706,317808
1990-07-11,0.8975,0.8975,0.8616,0.8616,94464
1990-07-12,0.8616,0.8975,0.8616,0.8839,223344
1990-07-13,0.8975,0.9693,0.8885,0.9693,716472
1990-07-16,0.9693,0.9693,0.9513,0.9557,793332
1990-07-17,0.9513,0.9693,0.9513,0.9513,951030
1990-07-18,0.9513,0.9740,0.9513,0.9513,756504
1990-07-19,0.9513,0.9693,0.9513,0.9513,932616
1990-07-20,0.9693,1.0142,0.9513,1.0052,271386
1990-07-23,1.0052,1.0052,0.9065,0.9424,276984
1990-07-24,0.9603,0.9603,0.9065,0.9513,288198
1990-07-25,0.9154,0.9513,0.9154,0.9334,22469382
1990-07-26,0.9334,0.9424,0.9244,0.9244,6152904
1990-07-27,0.9244,0.9513,0.9244,0.9513,2387988
1990-07-30,0.9513,0.9513,0.9244,0.9381,569988
1990-07-31,0.9244,0.9424,0.9065,0.9154,1750770
1990-08-01,0.9244,0.9244,0.9065,0.9154,941436
1990-08-02,0.9065,0.9154,0.8885,0.8885,900594
1990-08-03,0.8885,0.9065,0.8526,0.8706,2629746
1990-08-06,0.8706,0.8706,0.7539,0.7629,692460
