Date,Open,High,Low,Close,Volume
1988-01-05,2.4013,2.4546,2.3676,2.3676,82800
1988-01-06,2.3845,2.4195,2.3845,2.3845,28800
1988-01-07,2.3676,2.3845,2.3676,2.3676,40800
1988-01-08,2.3312,2.3676,2.3312,2.3312,35200
1988-01-11,2.3494,2.3845,2.3312,2.3676,30400
1988-01-12,2.3676,2.3676,2.3676,2.3676,18400
1988-01-13,2.3775,2.3775,2.3775,2.3775,4000
1988-01-14,2.3775,2.3775,2.3592,2.3592,27200
1988-01-15,2.3775,2.3944,2.3592,2.3592,10800
1988-01-18,2.3775,2.4113,2.3775,2.3944,20000
1988-01-19,2.3944,2.4296,2.3944,2.4296,2800
1988-01-20,2.4296,2.4296,2.3944,2.4113,5200
1988-01-21,2.3944,2.3944,2.3775,2.3775,6000
1988-01-22,2.3775,2.3944,2.3775,2.3775,18800
1988-01-25,2.3775,2.3944,2.3775,2.3775,10000
1988-01-26,2.3775,2.4296,2.3775,2.4113,8000
1988-01-27,2.3944,2.3944,2.3944,2.3944,24000
1988-01-28,2.4296,2.4296,2.4113,2.4113,10400
1988-01-29,2.4113,2.4296,2.4113,2.4296,16000
1988-02-01,2.4296,2.4648,2.3944,2.3944,20400
1988-02-02,2.3775,2.3775,2.3775,2.3775,3600
1988-02-03,2.3944,2.4113,2.3775,2.4113,9200
1988-02-04,2.3944,2.3944,2.3408,2.3408,11600
1988-02-05,2.3408,2.3408,2.2887,2.2887,16800
1988-02-08,2.2535,2.2535,2.2535,2.2535,10400
1988-02-09,2.2366,2.2887,2.2366,2.2704,7600
1988-02-10,2.2704,2.2887,2.2704,2.2704,6400
1988-02-11,2.2535,2.3070,2.2535,2.3070,22000
1988-02-12,2.2704,2.3775,2.2704,2.3775,54800
1988-02-16,2.3775,2.4479,2.3775,2.4479,15600
1988-02-17,2.4296,2.4296,2.4296,2.4296,13600
1988-02-18,2.4296,2.4479,2.3592,2.3592,18800
1988-02-19,2.3944,2.3944,2.3944,2.3944,10000
1988-02-22,2.4113,2.4296,2.4113,2.4296,11600
1988-02-23,2.4113,2.4113,2.3944,2.3944,38400
1988-02-24,2.3944,2.3944,2.1127,2.1662,541600
1988-02-25,2.1831,2.2000,2.1296,2.1479,87200
1988-02-26,2.1296,2.1296,2.0253,2.0253,84000
1988-02-29,2.0423,2.0958,2.0423,2.0958,32000
1988-03-01,2.0958,2.1127,2.0775,2.0775,394400
1988-03-02,2.1127,2.1479,2.0775,2.0775,52000
1988-03-03,2.0592,2.1127,2.0592,2.0958,28400
1988-03-04,2.0958,2.1296,2.0592,2.1127,107600
1988-03-07,2.0775,2.1296,2.0775,2.1296,10800
1988-03-08,2.1296,2.1296,2.0775,2.0958,62000
1988-03-09,2.0958,2.1127,2.0958,2.1127,7600
1988-03-10,2.1127,2.1127,2.0592,2.0958,32000
1988-03-11,2.1127,2.1127,2.0775,2.1127,18400
1988-03-14,2.1127,2.1296,2.1127,2.1127,45200
1988-03-15,2.1127,2.1127,2.1127,2.1127,66000
1988-03-16,2.0958,2.1127,2.0958,2.1127,116800
1988-03-17,2.1127,2.1127,2.0958,2.0958,62000
1988-03-18,2.0958,2.0958,2.0775,2.0775,48400
1988-03-21,2.0775,2.0775,2.0423,2.0423,53200
1988-03-22,2.0423,2.0423,1.9718,1.9718,26400
1988-03-23,1.9718,1.9887,1.9718,1.9887,10000
1988-03-24,1.9887,1.9887,1.9366,1.9366,7200
1988-03-25,1.9549,1.9718,1.9366,1.9718,68800
1988-03-28,1.9183,1.9549,1.8845,1.9183,70800
1988-03-29,1.9366,1.9366,1.8662,1.8662,112000
1988-03-30,1.8662,1.9014,1.8662,1.9014,26000
1988-03-31,1.8845,1.9183,1.8662,1.9183,49600
1988-04-04,1.9366,1.9549,1.9183,1.9549,55200
1988-04-05,1.9549,1.9549,1.9366,1.9366,13600
1988-04-06,1.9549,1.9549,1.9549,1.9549,2400
1988-04-07,1.9549,1.9549,1.8662,1.9014,38400
1988-04-08,1.9014,1.9014,1.8662,1.9014,16800
1988-04-11,1.9014,1.9366,1.9014,1.9366,13200
1988-04-12,1.9183,1.9718,1.9183,1.9718,31600
1988-04-13,1.9366,1.9366,1.9183,1.9366,27600
1988-04-14,1.9283,1.9652,1.8944,1.8944,27200
1988-04-15,1.9114,1.9114,1.8760,1.8760,37200
1988-04-18,1.8760,1.8944,1.8760,1.8944,8400
1988-04-19,1.8944,1.9114,1.8944,1.9114,7600
1988-04-20,1.9283,1.9283,1.9114,1.9283,4000
1988-04-21,1.9283,1.9283,1.8944,1.8944,8800
1988-04-22,1.9114,1.9114,1.8760,1.8760,33600
1988-04-25,1.8576,1.9283,1.8576,1.9283,26400
1988-04-26,1.9467,1.9652,1.9467,1.9467,22800
1988-04-27,1.9652,1.9652,1.9467,1.9467,4000
1988-04-28,1.9652,1.9652,1.9283,1.9467,20800
1988-04-29,1.9114,1.9283,1.9114,1.9283,15200
1988-05-02,1.9652,1.9821,1.9283,1.9467,48400
1988-05-03,1.9283,1.9652,1.9283,1.9467,37600
1988-05-04,1.9114,1.9467,1.9114,1.9467,99200
1988-05-05,1.9114,1.9114,1.8944,1.9114,61200
1988-05-06,1.9114,1.9114,1.8944,1.8944,46400
1988-05-09,1.8944,1.8944,1.8576,1.8576,12800
1988-05-10,1.8760,1.8760,1.8236,1.8236,40000
1988-05-11,1.8406,1.8406,1.7698,1.7868,91200
1988-05-12,1.7698,1.7868,1.7698,1.7698,84400
1988-05-13,1.7698,1.7698,1.7344,1.7344,164400
1988-05-16,1.7528,1.7698,1.7344,1.7344,301200
1988-05-17,1.7698,1.7868,1.7698,1.7868,655200
1988-05-18,1.7868,2.0359,1.7868,2.0359,307200
1988-05-19,2.0529,2.0529,1.9991,1.9991,101600
1988-05-20,1.9821,2.0175,1.9821,1.9991,15200
1988-05-23,2.0175,2.0699,1.9467,1.9467,56400
1988-05-24,1.9652,2.0699,1.9652,2.0699,23200
1988-05-25,2.0699,2.1067,2.0699,2.0699,30400
1988-05-26,2.0699,2.0883,2.0699,2.0699,2800
1988-05-27,2.0883,2.1067,2.0699,2.1067,15200
1988-05-31,2.1067,2.1067,2.0699,2.0883,12000
1988-06-01,2.1067,2.1067,2.0699,2.1067,17200
1988-06-02,2.1067,2.1067,2.0883,2.1067,5200
1988-06-03,2.0699,2.0699,2.0529,2.0529,22400
1988-06-06,2.0359,2.1591,2.0359,2.1591,86000
1988-06-07,2.1591,2.1591,2.1237,2.1407,35600
1988-06-08,2.1407,2.1407,2.1237,2.1237,16800
1988-06-09,2.1237,2.1591,2.1237,2.1407,72000
1988-06-10,2.1407,2.1407,2.1237,2.1237,11200
1988-06-13,2.1237,2.1407,2.1237,2.1407,18400
1988-06-14,2.1591,2.1945,2.1407,2.1775,42400
1988-06-15,2.1775,2.1775,2.1237,2.1407,10000
