Date,Open,High,Low,Close,Volume
2016-01-05,110.2334,112.7519,109.2332,112.3858,2163572
2016-01-06,111.8499,112.1178,107.1166,107.1523,2386461
2016-01-07,103.9372,106.9380,102.6422,102.6601,2489451
2016-01-08,103.1334,104.8839,101.3651,104.1515,2006267
2016-01-11,104.4998,104.7856,101.8920,102.6779,1408550
2016-01-12,103.1602,103.6514,102.2582,103.1959,1098024
2016-01-13,104.0086,104.5490,100.5524,100.7846,949576
2016-01-14,101.3740,102.7315,98.2840,102.1510,785469
2016-01-15,101.2133,102.5976,99.9540,100.4988,1093741
2016-01-19,101.5080,103.4817,98.1232,98.5787,1523527
2016-01-20,97.3998,99.6682,96.7389,97.6142,1654181
2016-01-21,97.9982,98.7573,96.7345,98.2393,944335
2016-01-22,99.9183,100.8730,98.4090,99.9808,745066
2016-01-25,99.4182,102.3743,98.2393,98.3465,703799
2016-01-26,98.6144,99.4896,95.8302,99.1324,563603
2016-01-27,98.9270,100.5345,97.3641,98.8734,896948
2016-01-28,99.0431,100.8918,98.1500,100.5435,680420
2016-01-29,101.2311,102.3386,99.7308,102.2314,749928
2016-02-01,101.8116,102.5708,100.8293,102.2582,574170
2016-02-02,101.1418,101.6866,98.0160,98.7394,694826
2016-02-03,101.2579,102.3832,97.9178,101.8563,896326
2016-02-04,101.8831,103.8836,101.8831,103.3388,956336
2016-02-05,102.8119,104.0354,97.9803,101.8295,997061
2016-02-08,101.1865,101.1865,98.6501,99.2753,1200452
2016-02-09,99.2842,100.1219,97.9178,98.8198,1725244
2016-02-10,95.3189,100.1236,94.9885,96.0245,1945964
2016-02-11,94.3365,97.5740,92.9790,95.6762,1319536
2016-02-12,96.9533,97.7280,95.6226,96.3102,922402
2016-02-16,97.4445,99.4003,95.5690,98.9270,1185091
2016-02-17,98.9806,100.1237,96.4263,99.3467,922004
2016-02-18,99.2396,100.2041,97.2837,99.6682,441403
2016-02-19,99.4628,100.3782,95.8101,98.5340,1244745
2016-02-22,99.4539,101.1240,99.1413,100.9543,681534
2016-02-23,100.3559,100.7399,99.4450,99.9272,411236
2016-02-24,98.9270,100.4631,98.0786,99.6325,447282
