Date,Open,High,Low,Close,Volume
1973-05-03,2.6536,2.7241,2.6010,2.6888,116601
1973-05-04,2.7593,2.8124,2.7593,2.7710,256800
1973-05-07,2.7710,2.7771,2.7532,2.7593,55800
1973-05-08,2.7593,2.7593,2.7358,2.7593,80001
1973-05-09,2.7593,2.7884,2.7532,2.7710,66801
1973-05-10,2.7710,2.7710,2.7358,2.7358,61800
1973-05-11,2.7358,2.7358,2.6654,2.7006,76401
1973-05-14,2.6654,2.6654,2.6301,2.6593,46200
1973-05-15,2.6593,2.6888,2.6301,2.6888,90201
1973-05-16,2.6888,2.7180,2.6888,2.7180,39801
1973-05-17,2.7180,2.7241,2.6827,2.7180,56001
1973-05-18,2.7123,2.7123,2.6593,2.7006,85200
1973-05-21,2.6888,2.6888,2.6475,2.6536,138201
1973-05-22,2.6593,2.6888,2.6593,2.6593,51201
1973-05-23,2.6654,2.7067,2.6654,2.7006,91401
1973-05-24,2.7006,2.7654,2.7006,2.7654,45201
1973-05-25,2.7710,2.8297,2.7710,2.8124,82800
1973-05-29,2.7945,2.7945,2.7241,2.7241,25401
1973-05-30,2.7241,2.7241,2.7067,2.7180,16800
1973-05-31,2.7006,2.7006,2.6536,2.6536,82800
1973-06-01,2.6536,2.7006,2.6362,2.6715,70800
1973-06-04,2.6715,2.6771,2.6536,2.6536,31800
1973-06-05,2.6536,2.7006,2.6362,2.6654,85401
1973-06-06,2.6654,2.6888,2.6536,2.6536,27000
1973-06-07,2.6593,2.7006,2.6593,2.6771,47001
1973-06-08,2.6888,2.7532,2.6888,2.7532,83400
1973-06-11,2.7710,2.8063,2.7710,2.7945,39600
1973-06-12,2.7945,2.8297,2.7771,2.8297,144600
1973-06-13,2.8297,2.8589,2.7654,2.7945,80400
1973-06-14,2.7884,2.7884,2.7710,2.7884,138801
1973-06-15,2.7771,2.7771,2.7593,2.7710,26400
1973-06-18,2.7710,2.7710,2.7006,2.7123,131400
1973-06-19,2.7123,2.7419,2.6715,2.7180,88800
1973-06-20,2.7180,2.7241,2.6888,2.7241,91200
1973-06-21,2.7241,2.7241,2.7006,2.7123,118200
1973-06-22,2.7123,2.7710,2.7006,2.7006,43401
1973-06-25,2.7006,2.7180,2.6888,2.6888,16800
1973-06-26,2.6888,2.7123,2.6771,2.7123,18801
1973-06-27,2.7123,2.7180,2.6771,2.7123,86400
1973-06-28,2.7241,2.7593,2.7241,2.7593,21801
1973-06-29,2.7593,2.7654,2.7358,2.7593,75201
1973-07-02,2.7593,2.7710,2.7419,2.7654,39201
1973-07-03,2.7654,2.8236,2.7654,2.8180,63000
1973-07-05,2.8180,2.8532,2.7884,2.8415,60801
1973-07-06,2.8415,2.8589,2.8415,2.8589,32400
1973-07-09,2.8589,2.9119,2.8589,2.9002,39600
1973-07-10,2.9533,3.0237,2.9533,2.9589,81600
1973-07-11,3.0059,3.0411,3.0059,3.0237,169200
1973-07-12,3.0237,3.0294,2.9824,3.0059,142800
1973-07-13,3.0059,3.0059,2.9354,2.9533,64401
1973-07-16,2.9533,2.9941,2.9472,2.9706,46401
1973-07-17,2.9824,3.0059,2.9824,2.9824,144000
1973-07-18,2.9824,2.9941,2.9645,2.9645,51000
1973-07-19,2.9645,3.0059,2.9411,2.9824,135000
1973-07-20,2.9824,3.0237,2.9824,3.0237,95001
1973-07-23,3.0237,3.0528,3.0237,3.0350,102600
1973-07-24,3.0350,3.0589,3.0294,3.0472,126600
1973-07-25,3.0472,3.1759,3.0472,3.1759,235200
1973-07-26,3.1759,3.2172,3.1703,3.1703,183600
1973-07-27,3.1585,3.1585,3.0881,3.0998,70401
1973-07-30,3.0881,3.0881,3.0294,3.0589,125601
1973-07-31,3.0528,3.0528,3.0176,3.0237,128400
1973-08-01,3.0237,3.0702,3.0176,3.0528,77400
1973-08-02,3.0528,3.0589,3.0411,3.0528,112401
1973-08-03,3.0528,3.0998,3.0528,3.0942,75201
1973-08-06,3.0998,3.1703,3.0998,3.1646,159000
1973-08-07,3.1759,3.2172,3.1759,3.2172,71601
1973-08-08,3.2407,3.2877,3.2407,3.2642,193401
1973-08-09,3.2759,3.3055,3.2759,3.3055,252201
1973-08-10,3.3055,3.3346,3.2877,3.3346,169800
1973-08-13,3.3346,3.3346,3.3112,3.3112,116001
1973-08-14,3.2994,3.2994,3.1937,3.1998,97401
1973-08-15,3.1998,3.2524,3.1937,3.2407,81600
1973-08-16,3.2407,3.2703,3.2229,3.2290,48600
1973-08-17,3.2172,3.2172,3.1937,3.1998,75000
1973-08-20,3.1937,3.1937,3.1585,3.1703,83601
1973-08-21,3.1759,3.1998,3.1759,3.1759,45801
1973-08-22,3.1759,3.1881,3.1703,3.1759,50601
1973-08-23,3.1881,3.2877,3.1881,3.2877,109200
1973-08-24,3.2816,3.2816,3.2229,3.2759,189000
1973-08-27,3.2642,3.2642,3.2463,3.2642,66000
1973-08-28,3.2642,3.2877,3.2463,3.2524,122400
1973-08-29,3.2524,3.2816,3.2463,3.2524,73401
1973-08-30,3.2524,3.2759,3.1998,3.2524,60000
1973-08-31,3.2407,3.2407,3.1998,3.2172,28800
1973-09-04,3.2111,3.2111,3.1233,3.1703,104001
1973-09-05,3.1759,3.2111,3.1759,3.1881,129000
1973-09-06,3.1881,3.2172,3.1881,3.2111,61200
1973-09-07,3.1998,3.1998,3.1881,3.1998,87600
1973-09-10,3.1998,3.1998,3.1759,3.1881,120801
