Date,Open,High,Low,Close,Volume
1985-09-24,2.0136,2.0136,1.9973,2.0080,7500000
1985-09-25,2.0025,2.0136,2.0025,2.0136,6840000
1985-09-26,1.9595,1.9651,1.9277,1.9380,26000
1985-09-30,1.9380,1.9544,1.9329,1.9544,94000
1985-10-01,1.9436,1.9758,1.9380,1.9595,170800
1985-10-02,1.9492,1.9810,1.9492,1.9651,122400
1985-10-03,1.9651,1.9707,1.9544,1.9707,34400
1985-10-04,1.9595,1.9758,1.9544,1.9758,149200
1985-10-07,1.9651,1.9866,1.9595,1.9758,336400
1985-10-08,1.9707,1.9921,1.9707,1.9758,24000
1985-10-09,1.9707,2.0025,1.9707,1.9866,282000
1985-10-10,1.9758,1.9973,1.9758,1.9866,36800
1985-10-11,1.9758,1.9921,1.9758,1.9866,42400
1985-10-14,1.9810,1.9973,1.9758,1.9973,47600
1985-10-15,2.0080,2.0136,1.9921,2.0025,87600
1985-10-16,1.9921,2.0025,1.9866,1.9921,40400
1985-10-17,1.9866,2.0080,1.9866,1.9973,38400
1985-10-18,1.9921,1.9921,1.9866,1.9921,13600
1985-10-21,2.0025,2.0080,2.0025,2.0025,94800
1985-10-22,2.0025,2.0295,2.0025,2.0239,47600
1985-10-23,2.0136,2.0510,2.0136,2.0403,56800
1985-10-24,2.0295,2.0351,2.0080,2.0136,200000
1985-10-25,2.0239,2.0617,2.0188,2.0510,136800
1985-10-28,2.0510,2.0510,2.0188,2.0403,266800
1985-10-29,2.0295,2.0510,2.0188,2.0454,96800
1985-10-30,2.0351,2.0510,2.0295,2.0351,91600
1985-10-31,2.0403,2.0617,2.0295,2.0566,321200
1985-11-01,2.0454,2.0995,2.0454,2.0781,295200
1985-11-04,2.0884,2.0995,2.0669,2.0781,225200
1985-11-05,2.0725,2.0939,2.0725,2.0832,119600
1985-11-06,2.1047,2.1047,2.0832,2.0884,70800
1985-11-07,2.0884,2.0884,2.0669,2.0781,253600
1985-11-08,2.0832,2.0832,2.0725,2.0781,105200
1985-11-11,2.0781,2.1047,2.0725,2.1047,392400
1985-11-12,2.1047,2.1262,2.0884,2.1098,131200
1985-11-13,2.1047,2.1154,2.1047,2.1047,140400
1985-11-14,2.1098,2.1098,2.0939,2.1098,370400
1985-11-15,2.1098,2.1098,2.0832,2.0939,161600
1985-11-18,2.1047,2.1047,2.0781,2.1047,48800
1985-11-19,2.1098,2.1313,2.1047,2.1098,80400
1985-11-20,2.1098,2.1313,2.1098,2.1210,225600
1985-11-21,2.1313,2.1584,2.1262,2.1584,249200
1985-11-22,2.1640,2.1691,2.1584,2.1640,196800
1985-11-25,2.1584,2.1640,2.1528,2.1640,158000
1985-11-26,2.1528,2.1528,2.1476,2.1528,39200
1985-11-27,2.1425,2.1584,2.1425,2.1476,86400
1985-11-29,2.1369,2.1425,2.1313,2.1369,30400
1985-12-02,2.1425,2.1476,2.1313,2.1476,39200
1985-12-03,2.1369,2.1476,2.1313,2.1425,146000
1985-12-04,2.1313,2.1476,2.1313,2.1476,107200
1985-12-05,2.1584,2.1640,2.1425,2.1640,85600
