Date,Open,High,Low,Close,Volume
2011-10-13,19.7270,20.3733,19.3072,20.3566,396800
2011-10-14,20.4489,21.3975,20.4489,21.2799,402600
2011-10-17,21.4059,21.6577,21.1205,21.1205,583400
2011-10-18,21.0365,21.2883,20.9022,21.1876,423500
2011-10-19,21.1960,21.2799,20.7763,20.7763,722200
2011-10-20,20.8183,21.0113,20.4237,20.7763,549700
2011-10-21,20.9861,21.6157,20.9442,21.4394,1764500
2011-10-24,21.4059,21.6997,21.4059,21.6325,371300
2011-10-25,21.7249,21.8927,20.9861,21.6157,546800
2011-10-26,21.9011,21.9011,20.8686,21.0029,657300
2011-10-27,21.1960,21.7836,21.1960,21.5066,405400
2011-10-28,21.4059,21.6745,21.1960,21.6745,584700
2011-10-31,22.0354,22.4468,21.1960,22.4468,15106000
2011-11-01,21.4898,23.7395,21.1121,22.9253,6095200
2011-11-02,23.0008,23.0008,21.6493,22.3460,2476700
2011-11-03,22.6147,22.7238,22.1446,22.1530,1615000
2011-11-04,21.9683,22.3209,20.8854,21.1456,1923300
2011-11-07,20.9106,21.3891,20.4573,20.6504,2703500
2011-11-08,21.0701,21.2757,20.7847,20.9358,2024100
2011-11-09,20.4405,20.9861,20.0124,20.0544,1570900
2011-11-10,20.5496,20.7427,19.7438,19.8529,1166000
2011-11-11,20.0460,20.2222,19.8361,19.9704,1266200
2011-11-14,19.8778,20.3162,19.8020,20.1729,1339000
2011-11-15,20.1813,20.5396,20.0802,20.2235,1657700
2011-11-16,20.1897,20.7377,20.0464,20.3331,1804600
2011-11-17,20.2319,20.3921,19.9453,20.1054,1279200
2011-11-18,20.1307,20.3499,19.9959,20.1729,1426200
2011-11-21,19.9790,20.0717,19.6755,19.9116,1282100
2011-11-22,21.0918,22.0359,19.1107,19.9200,2126400
2011-11-23,19.6165,20.0211,19.2877,19.9621,1009700
2011-11-25,19.7682,19.7682,19.2877,19.3889,991100
2011-11-28,19.9453,20.3845,19.5069,19.8020,1567300
2011-11-29,19.8188,19.8947,19.5293,19.6165,1222400
2011-11-30,20.2825,20.3963,19.6671,20.1476,2320800
2011-12-01,20.0717,20.5354,19.9368,20.4595,1046700
2011-12-02,21.4795,21.4795,20.4174,20.4426,1208900
