Date,Open,High,Low,Close,Volume
1997-09-17,3.3385,3.5127,3.3385,3.3815,20981600
1997-09-18,3.4256,3.4976,3.3966,3.4976,4839600
1997-09-19,3.4906,3.5998,3.4906,3.5127,2473200
1997-09-22,3.4837,3.5266,3.4767,3.4837,4192000
1997-09-23,3.4837,3.4976,3.4767,3.4837,1968800
1997-09-24,3.4906,3.4976,3.4767,3.4837,1851600
1997-09-25,3.4837,3.5348,3.4837,3.5348,723200
1997-09-26,3.5266,3.6288,3.5197,3.6219,1176400
1997-09-29,3.6288,3.6718,3.6288,3.6718,1228000
1997-09-30,3.7089,3.8762,3.7008,3.7600,3335200
1997-10-01,3.7670,3.7670,3.5998,3.5998,2534800
1997-10-02,3.6137,3.6219,3.5417,3.5847,1344800
1997-10-03,3.6219,3.6578,3.5998,3.6358,1484800
1997-10-06,3.6219,3.7449,3.6219,3.7159,5638000
1997-10-07,3.7449,3.8030,3.5568,3.6149,15530000
1997-10-08,3.6149,3.6288,3.5417,3.5638,11980400
1997-10-09,3.5568,3.7159,3.4988,3.7159,9234000
1997-10-10,3.6149,3.7089,3.5708,3.6648,7411200
1997-10-13,3.6729,3.7310,3.6729,3.7310,7563600
1997-10-14,3.7020,3.7740,3.6869,3.7020,12276800
1997-10-15,3.6578,3.6938,3.6149,3.6869,6505200
1997-10-16,3.7159,3.7310,3.6578,3.6869,6472000
1997-10-17,3.6288,3.6439,3.5197,3.6219,4623600
1997-10-20,3.6648,3.7740,3.6149,3.7449,5748000
1997-10-21,3.7600,3.9772,3.7159,3.9052,6628000
1997-10-22,3.8320,3.8762,3.7891,3.8320,4033600
1997-10-23,3.7740,3.8471,3.7449,3.8320,5527600
1997-10-24,3.8471,3.8611,3.7740,3.8320,4024800
1997-10-27,3.7740,3.7891,3.5568,3.6149,4816000
1997-10-28,3.4988,3.6729,3.3826,3.5928,3350400
1997-10-29,3.6068,3.6578,3.5057,3.5197,2362400
1997-10-30,3.4326,3.5057,3.3826,3.4256,3524000
1997-10-31,3.4256,3.5417,3.4186,3.5197,3834800
1997-11-03,3.5568,3.5708,3.4906,3.5417,3923200
1997-11-04,3.5127,3.5487,3.4697,3.4988,4205600
1997-11-05,3.4837,3.5417,3.4697,3.5057,4460800
1997-11-06,3.5127,3.7159,3.4988,3.6729,4446800
1997-11-07,3.6578,3.7670,3.5998,3.7159,4353600
1997-11-10,3.7449,3.9923,3.7310,3.9261,3940800
1997-11-11,3.8030,3.9052,3.8030,3.8901,2965600
1997-11-12,3.8611,3.8901,3.8100,3.8100,2981600
1997-11-13,3.8251,3.9122,3.8251,3.8901,5003600
1997-11-14,3.9772,4.1804,3.9633,4.0933,7962400
1997-11-17,4.1223,4.2094,4.0933,4.1003,3616400
1997-11-18,4.0794,4.1003,3.9052,3.9261,4189200
1997-11-19,3.9052,3.9772,3.8762,3.9482,4330800
1997-11-20,3.9482,3.9842,3.9342,3.9633,4558800
1997-11-21,3.9551,4.0213,3.9482,4.0062,2220000
1997-11-24,3.9482,4.0062,3.8901,3.8901,2790000
1997-11-25,3.8971,3.9122,3.7740,3.8030,2370800
1997-11-26,3.7740,3.8762,3.7740,3.8541,1908800
1997-11-28,3.8471,3.9482,3.8471,3.9261,840400
1997-12-01,3.9923,3.9923,3.9261,3.9482,2174000
1997-12-02,3.9772,3.9772,3.9052,3.9551,3128400
1997-12-03,3.9482,4.0352,3.9482,4.0283,1442800
1997-12-04,4.0643,4.1154,4.0283,4.0422,3282800
1997-12-05,4.0422,4.0503,4.0062,4.0213,2854000
1997-12-08,3.9923,4.0573,3.9772,4.0062,1540400
1997-12-09,3.9633,4.0062,3.9551,3.9702,1397200
1997-12-10,3.9482,3.9482,3.6799,3.7449,6426000
1997-12-11,3.6729,3.6869,3.5859,3.6149,4354400
1997-12-12,3.6219,3.6288,3.5127,3.5278,3363200
1997-12-15,3.4988,3.5708,3.4988,3.5057,7172800
1997-12-16,3.4837,3.5928,3.4837,3.5708,7638000
1997-12-17,3.5777,3.6358,3.5057,3.5278,5026000
1997-12-18,3.4988,3.5057,3.4326,3.4697,1942400
1997-12-19,3.4546,3.4837,3.4407,3.4616,2028400
1997-12-22,3.4837,3.4988,3.4117,3.4616,1620400
1997-12-23,3.4326,3.4477,3.2874,3.2955,3141600
1997-12-24,3.2665,3.3455,3.2375,3.3385,1541200
1997-12-26,3.3246,3.3315,3.2874,3.2874,887600
1997-12-29,3.2584,3.3675,3.2514,3.2955,1568800
1997-12-30,3.2955,3.4326,3.2874,3.4035,1933600
1997-12-31,3.3745,3.3896,3.3385,3.3745,3035200
1998-01-02,3.3745,3.4035,3.2955,3.3826,2127600
1998-01-05,3.3826,3.3966,3.2375,3.2805,4930000
1998-01-06,3.2375,3.2375,3.1283,3.1423,6155200
1998-01-07,3.1214,3.2224,3.0923,3.1353,4323600
1998-01-08,3.0772,3.1063,2.9901,3.0122,3906000
1998-01-09,3.0052,3.1283,2.9901,3.0192,6994800
1998-01-12,2.9182,3.0703,2.9100,3.0343,3833600
1998-01-13,3.0052,3.0633,2.9901,3.0343,3582400
1998-01-14,3.0412,3.1132,2.9681,3.0343,2724000
1998-01-15,3.0192,3.1214,2.9901,3.1063,6312800
1998-01-16,3.0923,3.1353,3.0842,3.1283,2226000
1998-01-20,3.1214,3.2224,3.1063,3.2224,2816400
1998-01-21,3.1934,3.1934,3.1574,3.1794,1699600
1998-01-22,3.1794,3.1864,3.1353,3.1504,2056400
1998-01-23,3.1353,3.1504,3.0842,3.1063,2384400
1998-01-26,3.0772,3.1283,3.0633,3.0923,1776400
1998-01-27,3.0482,3.0923,3.0192,3.0842,3398000
1998-01-28,3.0772,3.1794,3.0633,3.1794,3906400
1998-01-29,3.1504,3.2584,3.1353,3.1864,3084400
1998-01-30,3.1643,3.1794,3.1283,3.1713,5987600
1998-02-02,3.2003,3.3095,3.2003,3.2375,3898000
1998-02-03,3.2085,3.2224,3.1934,3.2085,2940000
1998-02-04,3.1934,3.3095,3.1794,3.2955,3774800
1998-02-05,3.2584,3.2955,3.2375,3.2514,2215600
1998-02-06,3.2224,3.3385,3.2224,3.3315,1963600
1998-02-09,3.2805,3.3095,3.2294,3.2805,1532800
1998-02-10,3.2665,3.3246,3.2224,3.3025,1428800
1998-02-11,3.2805,3.2874,3.2154,3.2735,2073600
1998-02-12,3.2665,3.2955,3.1643,3.1934,4597600
1998-02-13,3.1934,3.3675,3.1353,3.1643,5932400
1998-02-17,3.0192,3.0993,3.0192,3.0993,4541200
1998-02-18,3.0633,3.0772,3.0192,3.0343,5242400
1998-02-19,3.0343,3.2085,3.0261,3.1423,4389200
1998-02-20,3.1713,3.1713,3.0842,3.1063,1765200
1998-02-23,3.1504,3.1504,3.0772,3.0923,2298000
1998-02-24,3.0772,3.1864,3.0772,3.1504,2127600
1998-02-25,3.1353,3.1643,3.1132,3.1353,1586000
1998-02-26,3.1353,3.2805,3.1283,3.2445,2922400
1998-02-27,3.2514,3.3095,3.2445,3.3095,2044800
1998-03-02,3.2955,3.4256,3.2874,3.4186,3092000
1998-03-03,3.3606,3.4407,3.3385,3.4256,2017200
1998-03-04,3.3966,3.4837,3.3896,3.4837,1802000
1998-03-05,3.4256,3.4837,3.3826,3.4837,2310400
1998-03-06,3.4697,3.4767,3.3675,3.4256,2264000
1998-03-09,3.4117,3.4256,3.2955,3.3385,1660400
1998-03-10,3.3246,3.3966,3.3164,3.3896,1722400
1998-03-11,3.4186,3.4546,3.3826,3.4477,2376800
1998-03-12,3.4546,3.5197,3.4477,3.4546,3534000
1998-03-13,3.4697,3.4988,3.4477,3.4477,2246800
1998-03-16,3.4546,3.4906,3.4326,3.4616,2325200
1998-03-17,3.4477,3.4837,3.4407,3.4697,2420400
1998-03-18,3.4407,3.4616,3.3826,3.3896,1882800
1998-03-19,3.3826,3.4546,3.3675,3.4326,5576800
1998-03-20,3.4546,3.5998,3.4326,3.5568,2065200
1998-03-23,3.4988,3.5127,3.4616,3.4697,1663600
1998-03-24,3.4697,3.5708,3.4546,3.5568,1997200
1998-03-25,3.5417,3.6578,3.5348,3.5487,3179200
1998-03-26,3.5708,3.5708,3.4906,3.4906,1509200
1998-03-27,3.5127,3.5417,3.4407,3.4906,1725200
1998-03-30,3.4837,3.4906,3.4256,3.4326,2676000
1998-03-31,3.4326,3.5127,3.4326,3.4906,1868800
1998-04-01,3.4906,3.6578,3.4906,3.6578,1704000
1998-04-02,3.6288,3.7380,3.5998,3.6509,3030000
1998-04-03,3.6509,3.7449,3.6288,3.7449,1957200
1998-04-06,3.7380,3.7380,3.6288,3.6509,1622000
1998-04-07,3.6149,3.6288,3.4988,3.5278,1503600
1998-04-08,3.5057,3.5859,3.4697,3.4906,1263200
1998-04-09,3.4988,3.5998,3.4837,3.5708,1059200
1998-04-13,3.5487,3.5638,3.5127,3.5568,1190400
1998-04-14,3.5708,3.5708,3.5348,3.5568,1729200
1998-04-15,3.5417,3.7159,3.5417,3.6799,1440800
1998-04-16,3.6799,3.6869,3.5859,3.6439,1379200
1998-04-17,3.6578,3.6729,3.5859,3.6509,973200
1998-04-20,3.6288,3.6799,3.5998,3.6729,1040000
1998-04-21,3.6439,3.6578,3.6068,3.6509,1047200
1998-04-22,3.6288,3.8320,3.6288,3.8100,1652400
1998-04-23,3.7960,3.8320,3.7740,3.8030,2290400
1998-04-24,3.7809,3.8181,3.7310,3.7600,1746400
1998-04-27,3.6729,3.6729,3.5417,3.6219,2950800
1998-04-28,3.6358,3.6578,3.5708,3.5998,2742400
1998-04-29,3.6288,3.6729,3.6149,3.6439,1857600
1998-04-30,3.6729,3.7229,3.6439,3.6869,1670400
1998-05-01,3.6869,3.6869,3.6149,3.6439,1044800
1998-05-04,3.6358,3.6648,3.5859,3.5998,1084800
1998-05-05,3.5708,3.6288,3.5417,3.6149,1736400
1998-05-06,3.5928,3.6509,3.5638,3.5859,2173200
1998-05-07,3.5777,3.5777,3.4988,3.4988,1078400
1998-05-08,3.4988,3.5417,3.4988,3.5127,1330000
1998-05-11,3.5057,3.5487,3.5057,3.5197,1392000
1998-05-12,3.5278,3.5859,3.5197,3.5859,819200
