Date,Open,High,Low,Close,Volume
2013-02-01,28.8674,29.0874,27.9235,28.4184,66789100
2013-02-04,28.4917,29.3165,28.1893,28.4276,7695400
2013-02-05,28.6383,29.3073,28.2718,28.4459,5013200
2013-02-06,28.3909,28.8033,28.1801,28.4367,2126100
2013-02-07,28.4092,29.9946,28.4092,29.3257,3800800
2013-02-08,29.6097,30.6820,29.6006,30.2879,2599300
2013-02-11,30.2971,30.7003,30.1321,30.4804,1487200
2013-02-12,30.6087,31.1585,30.3795,30.9202,1637300
2013-02-13,30.9752,30.9752,30.2421,30.7461,1269700
2013-02-14,30.5995,30.6545,30.0313,30.4895,2954500
2013-02-15,30.5262,31.2410,30.2421,31.1402,5415400
2013-02-19,31.1768,31.2227,30.7644,31.0119,1206900
2013-02-20,31.0119,31.0485,29.8755,29.9855,1842900
2013-02-21,29.7839,30.0588,29.1974,29.8389,3242300
2013-02-22,30.0405,30.1779,29.7839,29.8663,954500
2013-02-25,29.9488,29.9580,29.3257,29.3898,818900
2013-02-26,29.3715,29.6922,29.3165,29.3623,1048700
2013-02-27,29.3257,30.2879,29.3257,29.6189,1343600
2013-02-28,29.8389,30.7461,29.8389,30.6545,2991400
2013-03-01,30.5720,31.8000,30.3795,31.7084,2334000
2013-03-04,31.8916,31.9741,31.3739,31.4793,865400
2013-03-05,31.5342,31.5984,30.9294,31.4243,1413400
2013-03-06,31.4701,31.5067,31.0210,31.0210,802000
2013-03-07,31.1127,31.7817,30.7553,31.6717,1320000
2013-03-08,31.1860,31.7908,30.9752,31.2410,1541100
2013-03-11,31.1310,31.3968,30.4712,31.3235,1729400
2013-03-12,31.2685,31.3830,30.7919,30.9935,1557600
2013-03-13,31.0669,31.2135,30.3154,31.1585,2240800
2013-03-14,31.4609,32.4598,31.4314,31.7450,1865200
2013-03-15,31.8000,31.9283,30.5262,30.6453,2692100
2013-03-18,30.0130,30.1871,29.9122,30.0955,2372000
2013-03-19,30.0588,30.6270,29.6259,30.0588,1336200
2013-03-20,30.1504,30.7370,29.7839,30.7095,1944000
2013-03-21,31.0669,31.1585,30.5078,30.6728,514500
2013-03-22,30.7461,30.9294,29.9992,30.3521,763300
2013-03-25,30.6820,30.6820,29.5548,29.7472,1324600
2013-03-26,29.9946,30.0496,29.3257,29.7930,1396500
2013-03-27,29.6739,30.1413,29.3807,30.0038,1896800
2013-03-28,30.1046,30.7003,29.9030,30.6087,7434900
2013-04-01,30.6270,30.7828,29.7197,29.8663,1466300
2013-04-02,29.9305,30.3612,29.7472,29.8297,712200
2013-04-03,29.9397,30.2238,29.6556,29.8114,1409700
2013-04-04,29.7014,29.7839,29.0599,29.1790,1946400
2013-04-05,29.0782,29.3898,28.0152,29.2890,3963500
2013-04-08,29.2798,30.2238,29.1149,30.1688,1965200
2013-04-09,30.2879,30.7827,29.8389,30.6453,2004400
2013-04-10,30.9386,30.9386,30.2238,30.3795,969500
2013-04-11,30.4437,30.4620,30.1229,30.3887,1826600
2013-04-12,30.2146,30.5628,29.8755,30.4529,723500
2013-04-15,30.3062,30.4529,29.4814,29.5456,839500
2013-04-16,29.6556,30.5812,29.5914,30.4345,2271200
2013-04-17,30.2238,30.4529,29.4814,30.1413,3140500
2013-04-18,30.3337,30.3337,29.6739,29.7564,799900
2013-04-19,29.9763,30.0496,29.1515,29.9763,2159300
2013-04-22,30.1504,30.1504,29.5273,29.9305,922100
2013-04-23,30.0405,30.2054,28.8674,29.0507,2731700
2013-04-24,28.9866,29.0416,27.8777,28.0610,4149300
2013-04-25,28.3451,29.3165,28.1801,28.9133,1520600
2013-04-26,28.9682,29.9488,28.9682,29.9122,1421800
2013-04-29,30.2564,30.2564,29.5401,29.9901,1711600
2013-04-30,30.9267,31.9000,30.2380,30.3206,3390300
2013-05-01,30.2747,30.7706,29.9901,30.6604,1393100
2013-05-02,30.6512,31.1011,30.4033,30.5594,696300
2013-05-03,30.8716,30.8899,30.3023,30.4951,998400
2013-05-06,30.6237,30.7522,30.0727,30.2472,503700
